Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp
12:15:44,100,23.67,99.3,23.7
12:15:45,100,23.68,99.3,23.7
12:15:46,100,23.67,99.3,23.7
12:15:47,100,23.67,99.3,23.7
12:15:48,100,23.68,99.3,23.7
12:15:49,100,23.68,99.3,23.7
12:15:50,100,23.68,99.3,23.7
12:15:51,100,23.68,99.3,23.7
12:15:52,100,23.68,99.3,23.7
12:15:53,100,23.68,99.3,23.7
12:15:54,100,23.68,99.3,23.7
12:15:55,100,23.68,99.3,23.7
12:15:56,100,23.68,99.3,23.7
12:15:57,100,23.68,99.3,23.7
