Time,IST Cap (pF),Vaisala Cap(pF),Open (Reference) (pF)
18:28:21,189.06544319951672,247.49865321913012,46.72604239523497
18:28:23,NaN,NaN,NaN
18:28:23,189.35915749754213,247.50811426487255,46.72614891606346
18:28:24,189.2726172250181,247.53810874724516,46.72625543725622
18:28:25,189.18134268755762,247.55895348478845,46.72658007551888
18:28:26,189.13948927898875,247.56897474079923,46.726473553216024
18:28:27,189.11131938725984,247.57664574296072,46.726473553216024
18:28:28,189.09314860327675,247.57577964421722,46.726361958813214
18:28:29,189.1099977873836,247.5677993768062,46.72668659818601
18:28:30,189.09054709172534,247.56668588179696,46.72679312121738
18:28:31,189.08402290208417,247.56235569484045,46.72701124094203
18:28:32,189.07820096732573,247.55493278151064,46.72625543725622
18:28:33,189.07295732717446,247.54751020202903,46.72614891606346
18:28:34,189.0720902895832,247.53922204946016,46.72625543725622
18:28:35,189.07035623229262,247.5358203162784,46.72679312121738
18:28:35,189.29035893617066,247.52951183307204,46.72673225086914
18:28:36,189.75936983674583,247.5489328372356,46.72722428958933
18:28:37,189.61113191418445,247.59495860888032,46.726361958813214
18:28:38,189.3027258464629,247.61810006812843,46.72625543725622
18:28:40,189.19150859298762,247.6246594675071,46.72701124094203
18:28:41,189.1483298092653,247.61636744011028,46.72668659818601
18:28:42,189.163327079482,247.60609580462886,46.72614891606346
18:28:43,189.13019499731251,247.6000940002255,46.727117765083555
18:28:44,189.10913049499385,247.58697741414724,46.72668659818601
18:28:45,189.11871234206868,247.57577964421722,46.726473553216024
18:28:46,189.12234702629144,247.568356127128,46.726473553216024
18:28:47,189.11173239006226,247.56322172314302,46.72658007551888
18:28:48,189.09764975800013,247.55437607646942,46.72701124094203
18:28:49,189.08575714739416,247.54639684389994,46.726473553216024
18:28:50,189.08038932260945,247.5374902492599,46.72662572804592
18:28:51,189.07254445138724,247.52784198082554,46.726473553216024
18:28:52,189.07167741663596,247.51893638754964,46.72625543725622
18:28:53,189.07167741663596,247.51497850036293,46.725763413838955
18:28:54,189.06544319951672,247.50922736474323,46.726473553216024
18:28:55,189.06061292541642,247.5049605226819,46.72658007551888
18:28:56,189.06106704586705,247.4992715715635,46.72673225086914
18:28:57,189.06106704586705,247.4969836791351,46.72679312121738
18:28:58,189.051778544003,247.4901201921909,46.726473553216024
18:28:59,189.05045756822628,247.4867194711067,46.72733081445939
