Time,IST Cap (pF),New IST Cap (pF),New IST Heated Cap (pF),E+E Cap (pF),E+E Humidity,Vaisala Cap(pF)
14:58:26,NaN,NaN,NaN,NaN,43.74,
14:58:27,Infinity,Infinity,Infinity,Infinity,43.74,
14:58:27,186.85426704452564,167.5242100915505,215.688741684387,223.7674310302352,43.72,
14:58:28,186.82826884710363,167.50406779111685,215.6637419238317,223.74739168655537,43.67,
14:58:29,186.8386106937845,167.50406779111685,215.6546384629525,223.72267843175197,43.66,
14:58:30,186.83045881355923,167.48547812254185,215.62300716064604,223.70779930705453,43.67,
14:58:31,186.7884506175704,167.4599051735036,215.58328931016817,223.67900179006153,43.7,
14:58:32,187.06301695856692,167.43454452130854,215.54669827199513,223.65637148191175,43.71,
14:58:33,187.0201179638669,167.4298997072769,215.53614489605323,223.760201672774,43.69,
14:58:34,186.86550351425078,167.41579441982785,215.5251903066276,223.75711867100986,43.64,
14:58:35,186.74520022821406,167.3946742250016,215.49408985466752,223.695950208851,43.6,
14:58:36,186.68681374713708,167.37668737375628,215.46254409394848,223.6158473772344,43.54,
14:58:37,186.6812236957698,167.36719643732252,215.43888931895495,223.5449699609516,43.48,
14:58:38,186.66656113094132,167.3557808731697,215.42337269726812,223.47672589848693,43.41,
14:58:39,186.66089098898408,167.3493859169474,215.41428445145672,223.4198090027719,43.38,
14:58:40,186.6518192992109,167.3470824472454,215.402335036669,223.3654585540011,43.34,
14:58:41,186.64493497604474,167.342441272151,215.3957582620203,223.31881252626343,43.3,
14:58:42,186.6310864914762,167.33838469946303,215.38832837516912,223.27011482719564,43.26,
14:58:43,186.62723996373518,167.33257511921175,215.38632036363245,223.2255113302506,43.22,
14:58:44,186.94560792913916,167.32772830446967,215.37723446243214,223.2266236064846,43.16,
14:58:45,187.02097092505574,167.32425660207906,215.37874037315842,223.31012101822807,43.15,
14:58:46,186.81963102155802,167.32466907591498,215.37924234691025,223.30858415801706,43.14,
14:58:47,186.729233403992,167.32697208286345,215.37823840116144,223.27933384367472,43.11,
14:58:48,186.68551748098108,167.33006574911897,215.37723446243214,223.25114876149811,43.1,
14:58:49,187.144590118139,167.3304438697675,215.37924234691025,223.3116048983138,43.08,
14:58:50,187.4821383529638,167.33876284830978,215.38928219048609,223.74585031008058,43.08,
14:58:52,187.22397903511012,167.36912206928935,215.42829364495185,223.91140005833003,43.09,
14:58:53,187.01711233761554,167.37283588193247,215.43939150300133,223.91602936866266,43.08,
14:58:54,186.9208893716961,167.36564907857385,215.43095504405488,223.8692639724901,43.08,
14:58:55,186.81310235845436,167.35540266663602,215.4163932749316,223.80134989924025,43.05,
14:58:56,186.73093535373232,167.34285381322985,215.4033391509057,223.71757685034677,43.03,
14:58:57,186.67000384318007,167.33412201931012,215.3848143734076,223.6163784213993,43.03,
14:58:58,186.64837709001768,167.32466907591498,215.3737709276986,223.53063929949974,43.01,
14:58:59,186.64404409146923,167.3186539835332,215.363681976588,223.45264097908534,42.99,
14:59:00,186.6276448557921,167.31556063374887,215.36222641529477,223.38131092858373,42.97,
14:59:01,186.62723996373518,167.31284543074622,215.35329260370656,223.32034949206678,42.96,
14:59:02,187.6701370271127,167.51357037249653,215.68622642127596,223.6928685348865,42.93,
14:59:03,187.3482068351576,167.66630784162547,215.9892798255983,223.9829841815722,42.96,
14:59:04,187.03701580604292,167.62749211880472,215.91595066939348,224.0674390166144,43.06,
14:59:05,186.80491160059023,167.58293615850425,215.82442984427698,224.02105217073228,43.16,
14:59:06,186.85073810975183,167.52923762535474,215.7279854864954,223.95413351384707,43.26,
14:59:07,186.7932346198668,167.47174441097485,215.62250433445774,223.89288425254225,43.29,
14:59:08,187.6047868680675,167.60502239142227,215.8430113674777,224.2132439129716,43.3,
14:59:09,187.40731132419427,167.63121453441025,215.85907700314453,224.4443928919723,43.26,
14:59:10,187.45596825149755,167.59806182815817,215.81778337802325,224.51927806084436,43.21,
14:59:11,187.1966427233583,167.55055550533254,215.74353503160935,224.53995553170722,43.21,
14:59:12,186.88623482388144,167.48238014531495,215.6415626769623,224.40360105192974,43.16,
14:59:13,186.74734820601591,167.43106949408315,215.54669827199513,224.23078632368984,43.14,
14:59:14,187.6727909403445,167.45759942158017,215.58791411549024,224.42324808916626,43.12,
14:59:15,187.36164647456295,167.5546542393646,215.69633804606633,224.76176332874002,43.06,
14:59:16,187.11243408789161,167.52266055484046,215.6797875481973,224.75453924210544,43.04,
14:59:17,186.95770516757702,167.4771482011657,215.60792314006687,224.6051055661171,43.01,
14:59:18,186.82133420734874,167.44287126433636,215.55217628221763,224.43873262661705,42.96,
14:59:19,186.72878765909562,167.4049242438352,215.49509461055635,224.26993091629743,42.93,
14:59:20,186.6911887450912,167.3828775498542,215.46299613395078,224.1004138573322,42.92,
14:59:21,186.66004048997343,167.36643994814216,215.43738277735085,223.9597754568591,42.93,
14:59:22,186.6626325050954,167.35193010293608,215.41589117129544,223.83883975146438,42.9,
14:59:23,186.66004048997343,167.34013794583066,215.3957582620203,223.72884307544092,42.89,
14:59:24,186.64878205086282,167.33219699133917,215.37773643091933,223.63124842607687,42.86,
14:59:25,186.63626936954591,167.32466907591498,215.36930359323378,223.53886599222443,42.86,
14:59:26,186.62027602658634,167.320200690595,215.3612225885178,223.4593249496137,42.86,
14:59:27,186.6116526213812,167.31480449462703,215.35374429993809,223.3865070573585,42.86,
14:59:28,186.61335296383007,167.31672922247404,215.34817347906824,223.32602050316987,42.83,
14:59:29,186.61379829545456,167.31439205726642,215.347169750543,223.27218110882907,42.84,
14:59:30,186.61902093983628,167.31593870523207,215.3476716139284,223.2286892844035,42.83,
14:59:31,187.28131523901786,167.36836556705333,215.42879579195116,223.54136062749512,42.81,
14:59:32,187.13629624003744,167.46107527478446,215.59238825356505,223.6738485775284,42.8,
14:59:33,187.01187297320521,167.49380866539965,215.62647670928408,223.76280632736717,42.85,
14:59:34,186.93477012551,167.48392912318394,215.60792314006687,223.78747306619184,42.86,
14:59:35,186.85033249147105,167.45119862852962,215.54921109479542,223.76535786984041,42.89,
14:59:36,186.75816971442498,167.42876433768876,215.51559316466276,223.71034990872445,42.91,
14:59:37,186.70500340546903,167.40860484943371,215.4870065250494,223.64357041075016,42.91,
14:59:38,186.68855562604463,167.39078771905943,215.46550749320167,223.57575900508357,42.89,
14:59:39,186.68037305779012,167.37861316952183,215.44848133776114,223.51678763661732,42.93,
14:59:40,187.0838217845296,167.36606170547532,215.42683742858216,223.48701887974858,42.93,
14:59:41,187.26173902501353,167.45952661395023,215.60792314006687,223.790025030586,42.94,
14:59:42,186.95770516757702,167.46978259007702,215.60495680227362,223.8439986669189,42.94,
14:59:43,186.88023009751248,167.46727013295595,215.59585706320178,223.84144577924823,43,
14:59:44,186.85382085184926,167.4485145342105,215.56871209332758,223.82549122071913,43.03,
14:59:45,186.76376322232414,167.4146247931007,215.51112141692826,223.77046108571594,43.02,
14:59:46,186.6963336153699,167.39450225285003,215.47344367703454,223.68107375045057,43.02,
14:59:47,186.68037305779012,167.37744393241462,215.44647248498114,223.6066606126176,43.02,
14:59:48,186.68081862934002,167.36874381753017,215.42879579195116,223.53886599222443,43.01,
14:59:49,186.6626325050954,167.35657167279214,215.41076981447918,223.4716327274594,43.03,
14:59:50,186.6509283653451,167.35131124154486,215.3987202835508,223.41259648480806,43.02,
14:59:51,186.64363914604348,167.34051610062042,215.38732436589075,223.35936193617437,43.02,
14:59:52,186.6371197060952,167.33993168012202,215.37974432241705,223.30651737102394,43.03,
14:59:53,186.63797004845588,167.33604708050024,215.38069808071455,223.2644989246043,43.01,
14:59:54,186.63153188658083,167.3368377402557,215.37874037315842,223.22455795723812,43,
14:59:55,186.63068158821918,167.32989387652063,215.37030747651124,223.19077012484607,43,
14:59:56,186.62460819748202,167.32851890526666,215.36814913614188,223.15799584466998,43,
14:59:57,186.62416282716208,167.3288970206721,215.36318005723376,223.13089236335375,43.02,
14:59:58,186.62416282716208,167.3288970206721,215.36318005723376,223.1068104053613,43.03,
14:59:59,186.62501308097447,167.3287251498744,215.36468582056025,223.0852722648872,43.01,
15:00:00,186.62027602658634,167.32312230689436,215.361724501029,223.06384305869395,42.97,
15:00:01,186.61728003401544,167.32270983877783,215.3547480744295,223.04490326953504,42.95,
15:00:02,186.61857558951675,167.32350040400772,215.3577594400119,223.0300917076726,42.94,
15:00:03,186.61683468992774,167.32078500773315,215.35575185593888,223.01475271675136,42.94,
15:00:04,186.59995327604724,167.31886020990234,215.34817347906824,222.99581917932184,42.93,
15:00:05,186.59396234178618,167.3174853746435,215.34616602903517,222.97842149018865,42.93,
15:00:06,186.60084384496133,167.32040691982368,215.34917721461107,222.96462112423828,42.91,
15:00:07,188.54401891021521,167.70706851538205,215.9677055845091,223.83883975146438,42.88,
15:00:08,188.13411895644475,168.04226871627202,216.58844701495485,224.61590429072635,43.62,
15:00:09,187.6466625537985,167.8814518265946,216.31272598774984,224.83889547002343,44.63,
15:00:10,187.39859257038123,167.7497417557271,216.11778406503151,224.86636431014736,45.35,
15:00:11,187.2126695371491,167.65972269763097,215.97531668836555,224.83530829331517,45.68,
15:00:12,188.03531290516105,167.9825749650544,216.52680405213863,225.36016110671451,46.03,
15:00:13,187.94448170498046,168.01428547084092,216.5479560599517,225.6050327460175,46.84,
15:00:14,187.51956867402728,167.90359710107995,216.38494309057657,225.68728376013544,47.44,
15:00:15,187.1462977497227,167.75733288191864,216.12076099252815,225.52132071339622,47.56,
15:00:16,186.9481653011345,167.65717148956702,215.92491951654094,225.27862581614343,47.45,
15:00:17,186.90141021951123,167.6065730710106,215.83288942721123,225.05342539675885,47.23,
15:00:18,186.9057521834507,167.59396150127336,215.8068576575352,224.86689981513888,46.97,
15:00:19,186.9338771649909,167.55658310742095,215.7359361765509,224.72767939743443,46.72,
15:00:20,186.83735340382833,167.50561706986687,215.65262672616004,224.5652853183886,46.44,
15:00:21,186.79753227016218,167.48238014531495,215.6149118728074,224.40360105192974,46.16,
15:00:22,186.7672896934114,167.45777149097486,215.57333642957795,224.25398385729952,45.9,
15:00:23,186.764209092463,167.44287126433636,215.56423869224744,224.13131772933997,45.65,
15:00:24,187.21482558539708,167.53564289350996,215.67566279665067,224.29318787059375,45.47,
15:00:25,187.12718987169916,167.5340931981738,215.69221281973478,224.3313883328997,45.25,
15:00:26,187.02836349979913,167.50909441821202,215.665703518509,224.31586154893293,45.12,
15:00:27,186.9590042697073,167.4846864090741,215.6314549036028,224.24779749636807,44.95,
15:00:28,187.06736455525976,167.47522070459388,215.59686253092025,224.2328126314154,44.8,
15:00:29,186.9551475998278,167.452368638558,215.56624919235898,224.17560666038506,44.69,
15:00:30,186.89921900543663,167.44094435947318,215.54770339584232,224.11533216989386,44.57,
15:00:31,186.8767004272082,167.44579609420697,215.5562974917741,224.08027649807917,44.45,
15:00:32,186.75991259210915,167.44789513699396,215.554689200812,223.9983699345887,44.45,
15:00:33,186.7058542118025,167.42952124946436,215.51609561692604,223.8882556599514,44.39,
15:00:34,186.7218585573246,167.41053119607923,215.49559699113584,223.80597579708677,44.33,
15:00:35,186.72615374456117,167.39680670169844,215.47344367703454,223.73601776607475,44.27,
15:00:36,186.71018936295295,167.3832558495275,215.4504399962732,223.66619877599513,44.23,
15:00:37,186.67344665066122,167.3724576175835,215.43095504405488,223.58866044368384,44.14,
15:00:38,186.66826222390878,167.36912206928935,215.42683742858216,223.5193349722496,44.07,
15:00:39,186.67215052372472,167.36080082678242,215.4153890694148,223.4628792465529,43.99,
15:00:40,186.66696615096734,167.35966615997683,215.41935572211815,223.41312680511507,43.94,
15:00:41,186.69463213867033,167.3648925998844,215.42784171415357,223.372668789408,43.9,
15:00:42,186.72793669599815,167.38246486076414,215.44235442461624,223.36392112249143,43.9,
15:00:43,186.72315520200556,167.38384049699974,215.45792332218642,223.3485476803864,43.87,
15:00:44,186.71059452498093,167.37359241447737,215.4433588186964,223.3234234712747,43.88,
15:00:45,186.6799274878353,167.37513988338634,215.43441995829562,223.29268653505193,43.86,
15:00:46,186.69203945699715,167.37476161122672,215.43441995829562,223.2747772469254,43.8,
15:00:47,186.65485662169522,167.36719643732252,215.43241130217547,223.2414547506863,43.74,
15:00:48,186.6513738314806,167.3648925998844,215.42533101339254,223.21428310240506,43.66,
15:00:49,186.6527102394557,167.35657167279214,215.4112719002097,223.18912859174472,43.6,
15:00:50,186.65400616392648,167.3509330501624,215.402335036669,223.16821386828056,43.57,
15:00:51,186.65052339751486,167.34900773209142,215.39475420079114,223.1487314039866,43.52,
15:00:52,186.65400616392648,167.35131124154486,215.40283709290972,223.1318451363719,43.51,
15:00:53,186.65744852884052,167.35619346357777,215.40534740044274,223.11903614294474,43.49,
