Time,IST Cap (pF),Vaisala Cap(pF),E+E Humidity,Open (Reference) (pF)
18:43:00,NaN,NaN,,46.725007640428
18:43:01,NaN,NaN,,NaN
18:43:01,189.1099977873836,247.58035764619635,,46.72344035669637
18:43:02,189.1121866947077,247.57862541429807,,46.72446998728466
18:43:03,189.11131938725984,247.57862541429807,,46.72408450583727
18:43:04,189.11045208577843,247.5777593051663,,46.72354686862723
18:43:05,189.11131938725984,247.57806862933447,,46.72333384512972
18:43:06,189.10913049499385,247.57924406646052,,46.72322226197432
18:43:07,189.10462893034693,247.57806862933447,,46.72344035669637
18:43:08,189.09938419078864,247.57862541429807,,46.723115751153436
18:43:09,189.0998384509384,247.57862541429807,,46.72354686862723
18:43:10,189.0989712284365,247.5763982857131,,46.72333384512972
18:43:11,189.18047490432144,247.57466609536792,,46.724196092081456
18:43:12,189.1875826380826,247.57695506504197,,46.72333384512972
18:43:13,189.14167869837067,247.57751184624905,,46.72354686862723
18:43:14,189.12234702629144,247.57806862933447,,46.72322226197432
18:43:15,189.11871234206868,247.58351282958202,,46.72376496562209
18:43:16,189.11739066469357,247.58295602813126,,46.72387147866292
18:43:17,189.113467016607,247.58351282958202,,46.72365338092231
18:43:18,189.1156559841648,247.58295602813126,,46.72365338092231
18:43:19,189.11045208577843,247.58295602813126,,46.72354686862723
18:43:20,189.10462893034693,247.5820898962746,,46.72279622087597
18:43:21,189.1059504739429,247.57577964421722,,46.72376496562209
18:43:22,189.10508320939556,247.5763982857131,,46.72290273060425
18:43:23,189.11086508573973,247.57806862933447,,46.72365338092231
18:43:24,189.10739592811325,247.57806862933447,,46.72354686862723
18:43:25,189.10376167489073,247.57695506504197,,46.72322226197432
18:43:26,189.0989712284365,247.57695506504197,,46.72322226197432
18:43:27,189.09810401190015,247.57806862933447,,46.72354686862723
18:43:28,189.09764975800013,247.57577964421722,,46.72354686862723
18:43:29,189.09938419078864,247.57806862933447,,46.72408450583727
18:43:30,189.11974491215838,247.57695506504197,,46.72333384512972
