Time,IST Cap (pF),Vaisala Cap(pF)
16:04:04,189.01566309861497,247.4118595346675

16:04:06,NaN,NaN
16:04:06,189.0359690239452,247.39449391729895
16:04:06,189.10780891806303,247.39387595748866
16:04:06,189.12061227756897,247.39276363566495
16:04:07,189.10115994431771,247.3922074775662
16:04:07,189.08270158833838,247.39189850165505
16:04:07,189.06948921259325,247.39189850165505
16:04:08,189.05396644058928,247.38788186748357
16:04:08,189.05136573758546,247.38559551941358
16:04:08,189.03815664609095,247.38503938548644
16:04:09,189.0223075636068,247.38448325343452
16:04:09,189.01128867317468,247.38330920303903
16:04:09,189.00604781624094,247.38219695247906
16:04:10,189.0020038394143,247.37991068321813
16:04:10,189.00113728983706,247.37589434099172
16:04:10,188.99762988814092,247.3753382397772
16:04:11,188.99721725906608,247.37305206559614
16:04:11,188.9963507424073,247.37193988421046
16:04:11,188.99503034752917,247.3659465914144
16:04:12,188.9963507424073,247.3659465914144
16:04:12,188.99589685510722,247.36477267297468
16:04:12,188.9945764649856,247.3630427031371
16:04:13,188.99589685510722,247.36137453512399
16:04:13,188.9941638459103,247.35735864430336
16:04:13,188.99012025048003,247.3547638130152
16:04:14,188.99012025048003,247.35562875224113
16:04:14,188.99053285631322,247.35507271936086
16:04:14,188.99012025048003,247.35451668835532
16:04:15,188.99012025048003,247.35278682610578
16:04:15,188.99370996648815,247.35025384626624
16:04:15,188.9924308605496,247.3476591267732
16:04:16,188.98879992089388,247.34623822625667
16:04:16,188.98747960514385,247.34623822625667
16:04:16,188.98401384212852,247.3445084508488
16:04:17,188.98182715975466,247.3441995642925
16:04:17,188.98096074893476,247.34395245546406
16:04:17,188.97906291748257,247.34395245546406
16:04:18,188.97819652567205,247.33882503083652
16:04:18,188.97605120016473,247.33826905461495
16:04:18,188.97691757722205,247.3365393628029
16:04:19,188.97733013981963,247.33598339428815
16:04:19,188.97733013981963,247.33709533319234
16:04:19,188.97819652567205,247.33598339428815
16:04:20,188.97819652567205,247.33598339428815
16:04:20,188.97691757722205,247.33338889933822
16:04:20,188.97733013981963,247.33283294144587
16:04:21,188.97691757722205,247.33314180671016
16:04:21,188.97605120016473,247.32937369001223
16:04:21,188.97559738598872,247.32714992384183
16:04:22,188.97473101801017,247.32714992384183
16:04:22,188.97514357344744,247.3277058625728
16:04:22,188.97778396023733,247.3282618031781
16:04:23,188.9826935765329,247.32597628156552
16:04:23,188.98488027394453,247.32653221633927
16:04:23,188.98488027394453,247.32714992384183
16:04:24,188.98355999926943,247.32597628156552
16:04:24,188.98182715975466,247.32597628156552
16:04:24,188.98228099637163,247.32653221633927
16:04:25,188.9800943440731,247.32542034866614
16:04:25,188.97646375992514,247.32542034866614
16:04:25,188.97605120016473,247.32542034866614
16:04:26,188.97691757722205,247.3248644176413
16:04:26,188.97819652567205,247.32424671870086
16:04:26,188.97733013981963,247.32424671870086
16:04:27,188.97733013981963,247.32338194407188
16:04:27,188.97691757722205,247.32140533337997
16:04:27,188.97778396023733,247.31800808911586
16:04:28,188.98137332477262,247.31973758653976
16:04:28,188.99895031026122,247.31800808911586
16:04:28,189.02057419113615,247.3191199068058
16:04:29,189.01434250134773,247.3185639970237
16:04:29,189.0033243073726,247.3191199068058
16:04:29,188.99548423170782,247.31800808911586
16:04:30,188.9924308605496,247.31745218308237
16:04:30,188.99012025048003,247.31745218308237
16:04:30,188.99053285631322,247.31800808911586
16:04:31,188.98925378262842,247.31627860983332
16:04:31,188.98747960514385,247.31627860983332
16:04:31,188.98314741627084,247.31683451191
16:04:32,188.98228099637163,247.31572270963088
16:04:32,188.98228099637163,247.31683451191
16:04:32,188.98314741627084,247.31745218308237
16:04:33,188.98401384212852,247.31683451191
16:04:33,188.98574671171903,247.31683451191
16:04:34,188.98488027394453,247.31627860983332
16:04:34,188.98442642796448,247.31683451191
16:04:34,188.98401384212852,247.31683451191
16:04:35,188.98533412155948,247.31627860983332
16:04:35,188.98314741627084,247.31683451191
16:04:35,188.98182715975466,247.31572270963088
16:04:36,188.98228099637163,247.31627860983332
16:04:36,188.98182715975466,247.31745218308237
16:04:36,188.98096074893476,247.31745218308237
16:04:37,188.9796405153329,247.31627860983332
16:04:37,188.97646375992514,247.31627860983332
16:04:37,188.97514357344744,247.31454914869195
16:04:38,188.9742772085896,247.31572270963088
16:04:38,188.97081180873622,247.3151668113028
16:04:38,188.97081180873622,247.31430208429546
16:04:39,188.9712243513393,247.31454914869195
16:04:39,188.9694916814845,247.3131285334682
16:04:39,188.9694916814845,247.31028733974156
16:04:40,188.9694916814845,247.3091755816109
16:04:40,188.96817156806608,247.3091755816109
16:04:40,188.96730525115305,247.3085579414443
16:04:41,188.96412880677337,247.3074461949751
16:04:41,188.96371628740548,247.3074461949751
16:04:41,188.96371628740548,247.3074461949751
16:04:42,188.96285000112968,247.30627269294612
16:04:42,188.9623962345056,247.30689032455174
16:04:42,188.96412880677337,247.30516096188646
16:04:43,189.10462893034693,247.30516096188646
16:04:43,189.23523959311305,247.30516096188646
16:04:43,189.28585089905383,247.30973145973917
16:04:44,189.31509396874603,247.31973758653976
16:04:44,189.29077252562266,247.33054735647133
16:04:44,189.31596267840783,247.34796801981
16:04:45,189.27088040833112,247.36020064923022
16:04:45,189.25851661849063,247.3704569873637
16:04:45,189.2489241446481,247.3862134481988
16:04:46,189.2069243136421,247.3950500831079
16:04:46,189.18047490432144,247.40419618986326
16:04:46,189.16634327485895,247.41476428260862
16:04:47,189.1491973713332,247.41871976631654
16:04:47,189.12800577732222,247.42786718570505
