Time,IST Cap (pF),Vaisala Cap(pF),E+E Humidity,Open (Reference) (pF)
15:24:49,NaN,246.87837851561406,58.19,45.81875381998212
15:24:49,188.86916125161707,246.878932941917,58.18,45.81933009642707
15:24:49,188.8682956154772,246.87665364572655,58.18,45.81922173592371
15:24:51,NaN,NaN,58.19,NaN
15:24:51,188.86524532603667,246.87468238798976,58.19,45.81822680745184
15:24:52,188.86293704801145,246.87067834339769,58.2,45.81848292455517
15:24:53,188.8633492374123,246.87067834339769,58.19,45.81880307395422
15:24:54,188.86611094120607,246.8704319438353,58.22,45.818123376153494
15:24:55,188.867842189398,246.87067834339769,58.23,45.818591282437644
15:24:56,188.86916125161707,246.87067834339769,58.22,45.81869471532041
15:24:57,188.8752620941335,246.87012394490105,58.22,45.818271135258364
15:24:58,188.8765400107522,246.87357356588836,58.22,45.8184385964413
15:24:59,188.88016771568948,246.87837851561406,58.21,45.81869471532041
15:25:00,188.88062118615534,246.88096585433982,58.21,45.81854695416653
15:25:01,188.87439641605064,246.88121226967303,58.23,45.81869471532041
15:25:02,188.87262385568906,246.88694153017596,58.23,45.818591282437644
15:25:03,188.86957346139445,246.88694153017596,58.21,45.818167703809905
15:25:04,188.8752620941335,246.88860490122542,58.22,45.818591282437644
15:25:05,188.87439641605064,246.88922096884303,58.21,45.81848292455517
15:25:06,188.87353074391945,246.88860490122542,58.2,45.81837949238954
15:25:07,188.87353074391945,246.89032989636576,58.19,45.81880307395422
