Time,IST Cap (pF),New IST Cap (pF),New IST Heated Cap (pF),E+E Cap (pF),E+E Humidity,Vaisala Cap(pF)
11:26:21,NaN,NaN,NaN,NaN,57.46,
11:26:21,Infinity,Infinity,Infinity,Infinity,57.46,
11:26:22,Infinity,Infinity,Infinity,Infinity,56.89,
11:26:23,Infinity,Infinity,Infinity,Infinity,56.47,
11:26:24,Infinity,Infinity,Infinity,Infinity,56.06,
11:26:25,Infinity,Infinity,Infinity,Infinity,55.75,
11:26:26,Infinity,Infinity,Infinity,Infinity,55.45,
11:26:27,Infinity,Infinity,Infinity,Infinity,55.31,
11:26:28,Infinity,Infinity,Infinity,Infinity,55.1,
11:26:29,Infinity,Infinity,Infinity,Infinity,55.06,
11:26:30,Infinity,Infinity,Infinity,Infinity,54.98,
11:26:31,Infinity,Infinity,Infinity,Infinity,54.84,
11:26:32,Infinity,Infinity,Infinity,Infinity,54.68,
11:26:33,Infinity,Infinity,Infinity,Infinity,54.65,
11:26:34,Infinity,Infinity,Infinity,Infinity,54.73,
11:26:35,Infinity,Infinity,Infinity,Infinity,54.73,
11:26:36,Infinity,Infinity,Infinity,Infinity,54.79,
11:26:37,Infinity,Infinity,Infinity,Infinity,54.89,
11:26:38,Infinity,Infinity,Infinity,Infinity,54.87,
11:26:39,Infinity,Infinity,Infinity,Infinity,54.76,
11:26:40,Infinity,Infinity,Infinity,Infinity,54.66,
11:26:41,Infinity,Infinity,Infinity,Infinity,54.57,
11:26:42,Infinity,Infinity,Infinity,Infinity,54.61,
11:26:43,Infinity,Infinity,Infinity,Infinity,54.69,
