Time,IST Cap (pF),Vaisala Cap(pF),New IST Cap (pF),E+E Humidity,Open (Reference) (pF)
15:44:03,NaN,NaN,168.50418709820326,46.32,225.02334914090713
15:44:03,NaN,244.74501573803022,168.49084889018354,46.32,225.19241200397735
15:44:03,187.06387021325355,244.64647889668333,168.4824091235997,46.32,225.08350768292888
15:44:03,187.0391688206008,244.55869084675092,168.49161301558314,46.32,225.03010371078454
15:44:03,187.05655679108457,244.48236278123395,168.50418709820326,46.32,225.02334914090713
15:44:03,NaN,244.74501573803022,168.49084889018354,46.24,225.19241200397735
15:44:04,187.06387021325355,244.64647889668333,168.4824091235997,46.24,225.08350768292888
15:44:04,187.0391688206008,244.55869084675092,168.49161301558314,46.24,225.03010371078454
15:44:04,187.05655679108457,244.48236278123395,168.50418709820326,46.24,225.02334914090713
15:44:04,NaN,NaN,NaN,46.06,NaN
15:44:05,186.90660436235933,244.3634788070984,168.52878357174217,46.06,225.09906060572408
15:44:06,186.84814217557795,244.2764493395303,168.46702467876267,45.57,224.98186345433845
15:44:07,186.82522729090397,244.1871636060366,168.4068268199316,45.14,224.7985312996032
15:44:07,186.82478120224044,244.1082232015429,168.329734616908,44.74,224.5689194789916
15:44:09,186.85641690436762,244.04300357871128,168.30712354773104,44.41,224.41908355600924
15:44:10,187.01573139849577,243.98834097328765,168.30400274572298,44.22,224.36335403875972
15:44:11,187.02141771657887,243.96171247118187,168.34888129269493,44.28,224.44492689032307
15:44:12,186.89751475446397,243.93847661336864,168.3323358756652,44.27,224.41497252800156
15:44:13,186.86550351425078,243.89485783692348,168.3350412487365,44.1,224.3875863543524
15:44:14,186.8767004272082,243.8471386280577,168.3186019106992,43.99,224.32466519762423
15:44:15,186.83690727173314,243.80632532462602,168.289128115725,43.93,224.21223088829925
15:44:16,186.76250668779574,243.76443432555357,168.2511356829425,43.87,224.10291789862112
15:44:17,186.75946673735595,243.72478987759757,168.2357829035281,43.87,224.01748454847413
15:44:18,186.70889285332558,243.68666539466327,168.2335650684882,43.85,223.9608399983168
15:44:19,186.70759635720265,243.64311413752864,168.22774346016394,43.79,223.9211909528989
15:44:20,186.71189105233296,243.60518996154164,168.2265999654654,43.76,223.88719163596824
