Time,IST Cap (pF),New IST Cap (pF),New IST Heated Cap (pF),E+E Cap (pF),E+E Humidity,Vaisala Cap(pF)
11:28:55,NaN,Infinity,Infinity,Infinity,54.54,
11:28:56,NaN,NaN,NaN,NaN,54.62,
11:28:56,Infinity,Infinity,Infinity,Infinity,54.62,
11:28:57,Infinity,Infinity,Infinity,Infinity,54.6,
11:28:58,Infinity,Infinity,Infinity,Infinity,54.53,
11:28:59,Infinity,Infinity,Infinity,Infinity,54.54,
11:29:00,Infinity,Infinity,Infinity,Infinity,54.49,
11:29:01,Infinity,Infinity,Infinity,Infinity,54.63,
11:29:02,Infinity,Infinity,Infinity,Infinity,55,
11:29:03,Infinity,Infinity,Infinity,Infinity,55.18,
11:29:04,Infinity,Infinity,Infinity,Infinity,56.61,
11:29:05,Infinity,Infinity,Infinity,Infinity,57.15,
11:29:06,Infinity,Infinity,Infinity,Infinity,57.35,
11:29:07,Infinity,Infinity,Infinity,Infinity,57.26,
11:29:08,Infinity,Infinity,Infinity,Infinity,56.97,
11:29:09,Infinity,Infinity,Infinity,Infinity,56.56,
11:29:10,Infinity,Infinity,Infinity,Infinity,56.52,
11:29:11,Infinity,Infinity,Infinity,Infinity,56.89,
11:29:12,Infinity,Infinity,Infinity,Infinity,57.31,
11:29:13,Infinity,Infinity,Infinity,Infinity,57.61,
11:29:14,Infinity,Infinity,Infinity,Infinity,57.55,
11:29:15,Infinity,Infinity,Infinity,Infinity,57.19,
11:29:16,Infinity,Infinity,Infinity,Infinity,56.82,
11:29:17,Infinity,Infinity,Infinity,Infinity,57.6,
11:29:18,Infinity,Infinity,Infinity,Infinity,58.24,
11:29:19,Infinity,Infinity,Infinity,Infinity,58.33,
11:29:20,Infinity,Infinity,Infinity,Infinity,58.03,
