Time,IST Cap (pF),Vaisala Cap(pF),New IST Cap (pF),E+E Humidity,Open (Reference) (pF)
16:00:13,NaN,NaN,Infinity,43.13,Infinity
16:00:13,NaN,Infinity,Infinity,43.13,Infinity
16:00:13,Infinity,Infinity,Infinity,43.13,Infinity
16:00:13,Infinity,Infinity,Infinity,43.13,Infinity
16:00:13,Infinity,Infinity,Infinity,43.13,Infinity
16:00:13,Infinity,Infinity,Infinity,43.14,Infinity
16:00:13,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,Infinity,Infinity,Infinity,43.14,Infinity
16:00:14,NaN,NaN,NaN,43.11,NaN
16:00:14,Infinity,Infinity,Infinity,43.11,Infinity
16:00:15,186.49118990561615,242.99364999889414,168.09877535847318,43.06,223.56142538291544
16:00:16,186.48815657711518,242.98805572356522,168.09541807468366,42.99,223.5552676574463
16:00:17,186.4890059016355,242.98192028888795,168.1065286455737,42.95,223.57172421648343
16:00:18,187.205347387175,242.97951429950615,168.13363475262796,42.96,223.67953305921168
16:00:19,187.4869082608952,243.08511070555122,168.40824981091586,43.59,224.3514528191032
16:00:20,187.25042610552273,243.24944840734446,168.38145895898984,44.02,224.4485047284318
16:00:21,187.08126162845366,243.36191304769704,168.4029397169735,44.7,224.61435393090096
16:00:22,189.68902539608334,243.44157745741953,168.42973569591052,45.21,224.7359187581005
16:00:23,189.94560818736448,243.79211865322316,168.39065458000982,45.22,224.63092757416908
16:00:25,188.30340065002804,244.13087754310084,168.37150077753657,45.22,224.5714848219432
16:00:26,194.3825342737989,244.4590525023983,171.16541020771234,48.85,232.46437856345202
16:00:27,197.20888467562287,246.39403176178314,173.95494387453294,57.07,241.9545763638649
16:00:28,197.42544970522258,248.18608081463,174.68893058860934,65.08,246.32820097798162
16:00:29,197.04427871348187,249.5448882851191,174.79068897742806,71.81,248.0278816138512
16:00:30,196.08005416180288,250.63146542377567,174.7931111322025,77.21,247.63555112138314
16:00:31,196.53331697621005,251.64500380218908,174.86980202453861,81.42,248.68874019575262
16:00:32,197.55137084149325,252.80054764934312,175.19165277519045,84.75,249.631178360472
16:00:33,197.4490645150516,253.607083228253,175.2356304432468,87.34,249.62159532342488
16:00:34,196.78221428366626,254.14503243473513,175.16311666597093,89.31,249.52585789196013
16:00:35,195.63022608371838,254.5225643647571,175.08832992560644,90.83,248.82195187907402
16:00:36,195.7252076844284,254.82036383807988,175.11232123907502,91.96,249.51321390030387
