Time,IST Cap (pF),Vaisala Cap(pF),New IST Cap (pF),E+E Humidity,Open (Reference) (pF)
16:39:46,NaN,Infinity,Infinity,51.84,Infinity
16:39:48,NaN,NaN,NaN,50.58,NaN
16:39:48,Infinity,Infinity,Infinity,50.58,Infinity
16:39:49,187.6610324911053,246.21422630219152,168.8756869785045,49.76,228.1010754051162
16:39:50,187.63135548748758,246.00269002608798,168.8184050004968,49.16,227.68579233545685
16:39:51,187.66491102409387,245.82735248963155,168.7067819787887,48.88,227.11333205519523
16:39:52,188.20761853764887,245.37813790722632,168.8229683716174,48.8,227.64258641473515
16:39:53,188.02663218113292,245.38772180503048,168.53229282963727,48.28,227.19858477610362
16:39:54,187.19009428768956,245.3437137588029,168.40606327122893,47.56,226.68144582284475
16:39:55,189.69122436430703,245.29611782948498,169.60371914613555,47.95,229.7574709118303
16:39:56,195.54638678707062,245.98179646350786,173.5453260260852,54.48,240.6728623405247
16:39:57,195.99060940846542,247.49296448547108,174.35424024364738,62.41,244.8163568261064
16:39:58,193.05132942512185,248.7229363536677,174.44641191467048,69.47,244.40388598636903
16:39:59,194.01764794242857,249.37556926916028,174.54755559424973,75.04,244.9622987085071
16:40:00,196.19748879827128,250.31286127401629,174.76958900126775,79.66,247.85694347613264
16:40:01,196.46783172025724,251.36477634578765,174.83484615902202,83.36,248.7583857171543
16:40:02,196.507985129326,252.28544053073026,174.88478631904954,86.2,248.97061725990773
16:40:03,196.54688180919308,253.03190826623378,174.87464967378173,88.42,247.96970436424084
16:40:04,196.64437111522,253.73906739489507,174.9696234459758,90.12,248.6841314169249
16:40:05,195.59698799630794,254.58770772635427,175.06919928322134,91.41,243.34268125104876
16:40:06,194.07658756167174,254.6352588152221,174.99487707124624,92.36,241.31190712632227
16:40:07,193.81947654502434,254.4539006711871,174.9363278957765,93.11,240.0862659484747
16:40:08,193.1489575542598,254.2809140746138,174.60623945274932,93.59,235.34905265541272
16:40:09,190.42294188933027,253.75723370669058,173.81405847230116,92.6,234.50975021337146
16:40:10,190.86911539981008,252.9504934314229,173.3244611877536,87.22,234.77797268014382
16:40:11,190.00191164761102,252.21831618456292,171.0306699744529,81.26,232.6829273690876
16:40:12,190.51206805111323,251.58326794141578,171.1874259103044,74.23,233.84543233322717
16:40:13,191.2494268647087,251.1075117330002,171.80588031122988,68.9,235.43617368719845
16:40:14,191.26509479854994,250.7788545325132,172.49045477952254,64.68,236.02198092161612
16:40:15,191.63909142134955,250.5930949807736,171.96169799630445,62.74,235.28186657634532
16:40:16,191.05065760595355,250.5207254760133,171.51531798805635,63.27,235.4910291094368
16:40:17,190.3236201378216,250.27858823236625,171.82326241180175,64.43,235.93401658825584
16:40:18,191.09004266844698,250.07083685252707,171.17800025112902,65.07,234.46960495551704
16:40:19,190.86011208187412,250.0725953060467,170.820826720489,64.28,233.3344826782562
16:40:20,191.0537609920943,250.03140212474258,171.15876009571312,64.04,233.82731748133781
16:40:21,190.748816708036,250.0234911850445,171.09544342029454,63.89,234.2880536809654
16:40:22,189.47942780618112,250.00233440550397,170.4648406118369,64.1,233.54643780405493
16:40:23,189.27493301778898,249.69758580133745,170.31963007585878,63.68,232.49061067745905
16:40:24,189.59483759178968,249.44400194953784,170.66308685011234,62.46,232.93108289545842
16:40:25,189.83033491688394,249.31291614452618,170.35083944594663,60.32,232.99878949731678
16:40:26,189.45159605562168,249.15501253661463,170.72963548708216,58.7,232.94316514600078
16:40:27,189.30880634374438,248.95096633534106,169.6145586237631,57.48,230.5210020157156
16:40:28,189.14527273336196,248.74424244387976,169.34391808594265,55.7,230.26375719945412
16:40:29,188.75091279349004,248.47537605419626,169.4859550710317,53.91,229.87570768453656
16:40:30,188.9522487897195,248.20992621670078,169.47313079044625,52.79,229.27479386615664
16:40:31,188.30122576976194,247.5283985963635,169.3608928909013,52.62,229.55275052366284
16:40:32,192.78145867969576,247.4430109882096,171.32391840532176,52.67,234.5439730604993
16:40:33,196.19836166434078,248.2755809214693,174.12701309286123,58.49,242.82788879616092
16:40:34,195.5773532641737,249.46333584308735,174.52287472256742,63.89,242.94523283338557
16:40:35,194.5748458503193,250.3965296318975,174.58685805235078,65.36,238.53820565946342
16:40:36,Infinity,Infinity,Infinity,65.31,Infinity
16:40:37,Infinity,Infinity,Infinity,63.5,Infinity
16:40:38,Infinity,Infinity,Infinity,60.84,Infinity
16:40:39,Infinity,Infinity,Infinity,61.26,Infinity
16:40:40,Infinity,Infinity,Infinity,66.88,Infinity
16:40:42,Infinity,Infinity,Infinity,72.81,Infinity
16:40:43,Infinity,Infinity,Infinity,77.87,Infinity
16:40:43,Infinity,Infinity,Infinity,81.94,Infinity
16:40:45,Infinity,Infinity,Infinity,85.13,Infinity
16:40:45,Infinity,Infinity,Infinity,85.13,Infinity
16:40:46,Infinity,Infinity,Infinity,87.56,Infinity
16:40:47,Infinity,Infinity,Infinity,88.96,Infinity
16:40:48,Infinity,Infinity,Infinity,88.48,Infinity
16:40:49,Infinity,Infinity,Infinity,85.58,Infinity
16:40:50,Infinity,Infinity,Infinity,81.42,Infinity
16:40:51,Infinity,Infinity,Infinity,78.19,Infinity
16:40:52,Infinity,Infinity,Infinity,74.9,Infinity
16:40:53,Infinity,Infinity,Infinity,72.02,Infinity
16:40:54,Infinity,Infinity,Infinity,68.99,Infinity
16:40:55,Infinity,Infinity,Infinity,66.88,Infinity
16:40:56,Infinity,Infinity,Infinity,63.52,Infinity
16:40:57,Infinity,Infinity,Infinity,60.5,Infinity
16:40:58,Infinity,Infinity,Infinity,58.16,Infinity
16:40:59,Infinity,Infinity,Infinity,56.11,Infinity
