Time,IST Cap (pF),Vaisala Cap(pF),New IST Cap (pF),E+E Humidity,E+E Cap (pF)
11:05:20,NaN,NaN,NaN,57.06,NaN
11:05:20,Infinity,Infinity,Infinity,57.06,Infinity
11:05:21,189.11437564003617,230.77177446105887,169.6428373623471,57.14,191.2628684064181
11:05:22,189.01925354240004,230.69312763986494,169.57429292452753,57.29,191.1915184279506
11:05:23,188.9712243513393,230.58877259522959,169.48935409979248,57.37,191.10963487547093
11:05:24,188.8888663884979,230.44303889007284,169.43214490150945,57.43,191.05153828893063
11:05:25,188.8133605067733,230.29494572266248,169.4127080763176,57.39,191.03044550853446
11:05:26,188.7978692660274,230.1687323259734,169.38567718893546,57.29,190.99875000677042
11:05:27,188.86034028581489,230.05359423835642,169.35550267629702,57.18,190.96647565936243
11:05:28,188.98228099637163,230.04550400710485,169.35746272456086,57.05,190.965134564833
11:05:29,190.65250075842624,231.8911973997683,169.76115140329148,56.91,191.30143669378464
11:05:30,190.02108715006702,232.13381832768755,169.74531051194077,56.8,191.33690628488463
11:05:31,189.51116016902174,231.99935606393717,169.5626508133235,56.7,191.13384611085914
11:05:32,189.19861694858668,231.68653146279976,169.44678601613097,56.61,191.02516237704225
11:05:33,189.07254445138724,231.37042676504993,169.37093897754713,56.51,190.9647154756897
11:05:34,189.2289972846639,231.0821897423957,169.32918532427578,56.43,190.92930742606336
11:05:35,189.35481252241735,231.0453195675379,169.29668206485886,56.36,190.8954589977679
11:05:36,189.34244050772142,231.02329092163146,169.28272498021903,56.31,190.87573219770863
11:05:37,189.1606828031545,230.90466926404014,169.2746453516582,56.26,190.86953417428828
11:05:38,189.06457621361156,230.74160227811853,169.25964186175713,56.23,190.86011208187412
11:05:39,188.9117908879169,230.54245853984293,169.24607398963815,56.2,190.84671297432968
11:05:40,188.8133605067733,230.3356890310738,169.2313539943658,56.15,190.82829150523756
11:05:41,188.72632941899565,230.12326546268977,169.21936263872362,56.12,190.8131376600123
11:05:42,188.67841182422194,229.9518324846973,169.21439866044827,56.1,190.81355625027777
11:05:43,188.66046800731007,229.8114601018325,169.2089455276479,56.11,190.80564512724914
11:05:44,188.6240120810631,229.68956891369228,169.2008711805342,56.12,190.79488846357336
11:05:45,188.60504765764534,229.58589399762778,169.19395077156378,56.13,190.79313065170246
11:05:46,188.59320148666657,229.49090190503304,169.19734101987706,56.12,190.7940095546013
11:05:47,188.58666189127072,229.4220694983982,169.20202462330877,56.12,190.79974349875195
11:05:48,188.58090403856187,229.37345837293506,169.21013400848537,56.07,190.80698454205208
11:05:49,188.56642831668972,229.32861300394123,169.2112875459785,56.06,190.81355625027777
11:05:50,188.56211059740167,229.29392616350938,169.21247605149074,56.04,190.8131376600123
11:05:51,188.57091067740757,229.27264370000808,169.2077920141035,56.01,190.811798180419
11:05:52,188.57263786823052,229.24976560013766,169.2032130312308,55.99,190.80522656301557
11:05:53,188.56252180237314,229.22413517052644,169.19695655360556,55.97,190.80191995398786
11:05:54,188.55067963764122,229.1996662554614,169.19356631684767,55.95,190.80104099642898
11:05:55,188.54315550842745,229.17839691374473,169.19590801588927,55.93,190.80325932956615
11:05:56,188.54447117066144,229.16291513587785,169.19471968492707,55.91,190.8015014020119
11:05:57,188.90482238818853,229.35376450627177,169.3102560231662,55.9,190.94229621763657
11:05:58,188.89900872783446,229.5340828602068,169.3809859580845,55.86,191.02558166518554
11:05:59,188.82032394616917,229.62236011028352,169.3732843599173,55.84,190.98533629746527
11:06:00,188.7987344180364,229.66132214648795,169.32183715946826,55.84,190.92842758811443
