Time,IST Cap (pF),Vaisala Cap(pF),New IST Cap (pF),Open (Reference) (pF)
12:04:08,NaN,246.77313296032005,,169.59168819198948
12:04:09,NaN,NaN,,NaN
12:04:09,188.48795122358808,246.70635019597532,,169.48788234282893
12:04:10,188.48273211788174,246.66795469078676,,169.46503752650986
12:04:11,188.48795122358808,246.6296296580051,,169.45995763535598
12:04:12,188.51294018178646,246.59383488733712,,169.4398505147559
12:04:13,188.5871143051573,246.562597710835,,169.55483163461824
12:04:14,188.21151402812097,246.27117306205633,,174.28921541419544
12:04:15,188.56556476096813,246.53616143186488,,169.5731006050202
12:04:16,188.52827303840576,246.51716682418123,,169.39572548091334
12:04:17,188.6266039706256,246.49221284475598,,169.33110992267544
12:04:18,188.6117116193214,246.48139653339683,,169.44794197442636
12:04:19,188.32662907985727,246.47371492645547,,169.31141058463854
12:04:20,188.28505897307582,246.40815934219282,,169.266951005085
12:04:21,188.2540442486691,246.35288442984108,,169.25652949947218
12:04:22,188.23952411512013,246.3015568384679,,169.25964186175713
12:04:23,188.23169050348608,246.25447972380198,,169.25964186175713
12:04:24,195.4111846775503,246.65946458748078,,172.20138455043536
12:04:25,194.81031473884929,247.83283911872635,,172.4534764846443
12:04:26,193.15253851762515,248.88292349427093,,171.31444586144875
12:04:27,192.05006542422285,249.64959437290528,,170.71472152578977
12:04:28,190.80062244734518,250.07140206770708,,170.32591362588335
12:04:29,190.47415569624067,250.14244602955776,,170.16720174309899
12:04:30,190.10447817843803,250.06757120234116,,169.94226733754192
12:04:31,190.13565987645032,249.9515565383936,,169.77790792976276
12:04:32,189.89065952797554,249.83512088710864,,169.7154260879964
12:04:33,189.67794815652596,249.6866831395162,,169.63588982096493
12:04:34,189.56159208094172,249.49406196129993,,169.5634222414318
12:04:35,189.14965181098896,249.28859908832615,,169.60831439649965
12:04:36,189.08617006646088,249.04637306646296,,169.645960386153
12:04:38,188.8529212603512,248.8227621932791,,169.60947200810077
12:04:39,188.91397635482988,248.59241845617066,,169.46622870646075
12:04:40,188.86916125161707,248.3926686786032,,169.38028579109013
12:04:41,188.8172748187891,248.20073539432644,,169.32264193514592
12:04:42,188.75091279349004,248.02012759975239,,169.27621925990704
12:04:43,188.74774180369604,247.84746242243958,,169.23985009934276
12:04:44,188.5830837660692,247.65696521782115,,169.20010222523692
12:04:45,188.47262328561814,247.4924079894494,,169.17116535484394
12:04:46,188.40644285912958,247.34253158688713,,169.14104814149374
12:04:47,188.32055479983111,247.1799539144319,,169.12518917658988
12:04:48,189.4140411982689,247.04750349557213,,169.59365234195982
12:04:49,189.71558153180396,247.12756558863492,,169.94532826637283
12:04:50,189.31244650951302,247.2489665485126,,169.7693712760938
12:04:51,188.96285000112968,247.27804939735705,,169.66417389455796
12:04:52,188.7473299927024,247.24754649832627,,169.53165778447698
12:04:53,188.6529373055355,247.18822402977847,,169.4979747755589
12:04:54,188.5463213439774,247.1030123663447,,169.43907992977654
12:04:55,188.42135197962762,247.01870792969066,,169.37755518129384
12:04:56,188.35692278208612,246.91990405326297,,169.36596832818591
12:04:57,188.38061278737646,246.82744086818872,,169.3017546159733
12:04:58,188.1620707777499,246.72936718351238,,169.22289348860073
12:04:59,188.14071699190714,246.61738967577313,,169.18888306460485
12:05:00,188.15252055469958,246.52398987720002,,169.19084022099554
12:05:01,188.18355118917293,246.44108746259653,,169.18549307049824
12:05:02,188.21553266081452,246.37106168156254,,169.19433522759016
12:05:03,188.3354537264517,246.31543089699392,,169.21674079199525
12:05:04,188.22508768186884,246.27915209529525,,169.29748666120216
12:05:05,188.0995361754917,246.23545629748799,,169.28506853049223
