Time,IST Cap (pF),Vaisala Cap(pF),Open (Reference) (pF)
18:35:39,189.08749141656352,247.60380643081328,46.72462722450795

18:35:41,NaN,NaN,NaN
18:35:41,189.2947016930233,247.59724785998478,46.724302606596524
18:35:42,189.18262371181922,247.60807582921012,46.72451563671932
18:35:44,189.11739066469357,247.61636744011028,46.72387147866292
18:35:45,189.10202718187614,247.61581052782358,46.72446998728466
18:35:46,189.0989712284365,247.61463483027723,46.72408450583727
18:35:47,189.09273566135067,247.61407792383574,46.72446998728466
18:35:48,189.09273566135067,247.61463483027723,46.72446998728466
18:35:49,189.090092865055,247.61209782725967,46.724576502736305
18:35:50,189.08749141656352,247.60553892699468,46.72451563671932
18:35:51,189.09186848770898,247.6043633026029,46.72376496562209
18:35:52,189.0914142562772,247.60324956090238,46.72436347219722
18:35:53,189.09273566135067,247.6000940002255,46.72446998728466
18:35:54,189.09764975800013,247.59551545082144,46.724302606596524
18:35:54,189.0989712284365,247.59495860888032,46.72387147866292
18:35:55,189.09459391067037,247.59266938952496,46.724794606940385
18:35:56,189.09186848770898,247.59211255718506,46.72408450583727
18:35:57,189.09186848770898,247.59093702841395,46.724733740497264
18:35:58,189.0909600264823,247.58580192194717,46.72408450583727
18:35:59,189.08922570959277,247.58580192194717,46.72446998728466
18:36:00,189.0870372009035,247.5846883054798,46.72344035669637
