Time,Board Cap (pF),EVM Cap (pF)
17:02:59,50.43421814471209,NaN
17:03:00,50.43433190604439,NaN
17:03:01,50.43339907448183,NaN
17:03:02,50.433518520980996,NaN
17:03:03,50.43362090403233,NaN
17:03:04,50.433154494879,NaN
17:03:05,50.43339907448183,NaN
17:03:06,50.43303504967303,NaN
17:03:07,50.43268809219562,NaN
17:03:08,50.432107941789546,NaN
17:03:09,50.43185768392059,NaN
17:03:10,50.431044358711155,NaN
17:03:11,50.430464236667696,NaN
17:03:12,50.42999787130277,NaN
17:03:13,50.42953151240698,NaN
17:03:14,50.42929833538502,NaN
17:03:15,50.42916752947101,NaN
17:03:16,50.42905378561166,NaN
17:03:17,50.428240528229615,NaN
17:03:18,50.428468010830194,NaN
17:03:19,50.42882061190306,NaN
17:03:20,50.42870118209324,NaN
17:03:21,50.42870118209324,NaN
17:03:22,50.42845663666359,NaN
17:03:23,50.42810403940812,NaN
17:03:24,50.429650945166514,NaN
17:03:25,50.450774465721445,NaN
17:03:26,50.52479714149378,NaN
17:03:27,50.49422375747529,NaN
17:03:28,50.529040728978714,NaN
17:03:29,51.067611769514684,NaN
17:03:30,157.5455704604823,NaN
17:03:31,156.51874384037757,NaN
17:03:32,156.15299530324862,NaN
17:03:33,155.86034841631377,NaN
17:03:34,155.69697716159104,NaN
17:03:35,155.5574615311006,NaN
17:03:36,156.731387314647,NaN
17:03:37,159.30976833356107,NaN
17:03:38,160.45111446563894,NaN
17:03:39,160.72818155435056,NaN
17:03:40,160.57031440921602,NaN
17:03:41,159.6517775052996,NaN
17:03:42,159.1510204389614,NaN
17:03:43,160.4581510335763,NaN
17:03:45,160.865834021567,NaN
17:03:46,160.66069899126776,NaN
17:03:47,158.33886750008054,NaN
17:03:48,156.80167877459945,NaN
17:03:49,155.99658964875726,NaN
17:03:50,155.54181049076382,NaN
17:03:51,155.26359828968168,NaN
17:03:52,155.07898779044748,NaN
17:03:53,154.92333512093973,NaN
17:03:54,154.81467977659696,NaN
17:03:55,154.72450621764872,NaN
17:03:56,154.64299284868406,NaN
17:03:57,154.58489129327717,NaN
17:03:58,154.5686848788979,NaN
17:03:59,154.56813555358016,NaN
17:04:00,154.56813555358016,NaN
17:04:01,154.56813555358016,NaN
17:04:02,154.56813555358016,NaN
17:04:03,154.56813555358016,NaN
17:04:04,154.56795244579163,NaN
17:04:05,154.56795244579163,NaN
17:04:06,154.56813555358016,NaN
17:04:07,154.56813555358016,NaN
17:04:08,154.56795244579163,NaN
17:04:09,154.56813555358016,NaN
