Time,IST Cap (pF),Vaisala Cap(pF),E+E Humidity,Open (Reference) (pF)
13:41:26,NaN,NaN,63.21,45.810549216886706
13:41:27,189.43967003966986,247.75875108436028,63.17,45.81060830578795
13:41:28,189.4529212380227,247.75423006443077,63.2,45.81086435901439
13:41:29,189.45143040879927,247.7481609445749,63.23,45.81124351869658
13:41:30,189.5430662707214,247.74989495606326,63.25,45.81117950439398
13:41:31,NaN,NaN,63.29,NaN
13:41:32,189.47097823363114,247.76735994391817,63.39,45.81018483785533
13:41:33,189.4351566676641,247.76506833316367,63.59,45.81071663573714
13:41:34,189.4496911302795,247.7553448249735,63.79,45.81107609695784
13:41:35,189.4175187974224,247.74760358760557,64.1,45.81086435901439
13:41:36,189.39802063911353,247.7396150110548,64.45,45.81060830578795
13:41:37,189.39756530409034,247.73416566114594,64.8,45.81117950439398
13:41:38,189.40472667234906,247.72673501920477,65.05,45.81117950439398
13:41:39,189.55139633255774,247.71930471157523,65.19,45.810972689871825
13:41:40,189.8440425313334,247.7438879225413,65.22,45.811711319596164
13:41:41,189.84055317952019,247.80285300195334,65.18,45.8116029861187
13:41:42,189.7824529964347,247.85923636165563,65.11,45.81113518687847
13:41:43,189.69794597594296,247.90268325920837,65.02,45.81139124452235
13:41:44,189.68508394496033,247.9302076030367,64.86,45.811711319596164
13:41:45,189.61420029131563,247.9450875353708,64.7,45.81139124452235
13:41:46,189.56594417526054,247.94824969356515,64.51,45.81139124452235
13:41:47,189.45246570500407,247.9393834029843,64.68,45.811711319596164
13:41:48,189.40021454905903,247.91731274514783,66.48,45.81149957724871
13:41:49,189.37413846318506,247.88954262165836,68.98,45.8116029861187
13:41:50,189.43383167164748,247.8603518309819,71.26,45.81113518687847
13:41:51,189.37500757928493,247.8351316697783,72.93,45.81117950439398
13:41:52,189.34678505701442,247.8062602411382,72.84,45.81076095264529
13:41:53,189.3357377821255,247.78191551123479,71.64,45.81082004195618
13:41:54,189.32787701424311,247.7559022080663,70.4,45.81076095264529
13:41:55,189.32527065717477,247.73850035667326,69.38,45.81103177959238
13:41:56,189.31550763926782,247.71819019426394,68.47,45.81076095264529
13:41:57,189.31683139404896,247.69924455070526,67.57,45.81076095264529
13:41:58,189.3233676368024,247.6804248870008,67.12,45.81060830578795
13:41:59,189.59699346298336,247.6715729579853,70.34,45.81107609695784
13:42:00,189.67139354290933,247.6866772347127,74.46,45.81103177959238
13:42:01,189.68902539608334,247.7307599087562,78.33,45.8116029861187
13:42:02,189.58766543882402,247.76903222048003,81.59,45.811287836369274
13:42:03,191.6587259935049,247.74531225093588,84.23,45.81117950439398
13:42:04,194.93287738321885,248.14789807088073,86.44,45.81465124294048
13:42:05,195.66560245120158,248.96125938661183,88.21,45.816493148143856
13:42:06,195.67542609301552,249.6701425334204,89.56,45.81596617461676
13:42:07,195.57192382692963,250.27223748767574,90.6,45.815857826046454
13:42:08,195.6284010277503,250.69675953159074,91.36,45.81617794793215
13:42:09,196.36234553825912,251.48000309216525,91.94,45.827945986636315
13:42:10,196.37903930611938,252.1274388079741,92.37,45.82953248174209
13:42:11,196.237995920033,252.57587884443765,92.69,45.825635369398995
13:42:12,196.1079200745301,252.83074320737796,92.94,45.822847096002135
13:42:13,196.01623351929442,252.91446361887705,93.03,45.821590978241694
13:42:14,195.92095292005274,252.91446361887705,92.77,45.8201723661728
13:42:15,195.75173663834212,252.94180468712392,91.38,45.820113258766284
13:42:16,195.5056594808071,252.94237966372265,88.4,45.81964532916801
13:42:17,195.21663588326282,252.9307527402017,84.54,45.81933009642707
13:42:18,194.9292900167991,252.91095048528365,80.8,45.819118301256346
13:42:19,194.3767241432224,252.88016579137502,77.55,45.81943353181159
13:42:20,194.30039892035396,252.83540389168343,74.98,45.8186503868992
13:42:21,193.55274072961828,252.79122833707575,73.67,45.81880307395422
13:42:22,193.4822854390965,252.69193945136476,75.83,45.81890650755414
13:42:23,193.4359205218223,252.60080599928094,78.91,45.81880307395422
13:42:24,193.3743258401638,252.5416498649655,81.91,45.81896561262565
13:42:25,193.54354686771663,252.49812473443149,84.45,45.818271135258364
13:42:26,194.3345116841668,252.51214331364886,86.03,45.818591282437644
13:42:27,195.72790382368873,252.8144637460895,85.97,45.8216993471499
13:42:28,195.87418760634486,253.16114071343998,84.16,45.82180279055727
13:42:29,195.78309994783265,253.4431608672348,81.26,45.821640236788674
13:42:30,195.56471388375155,253.607083228253,78.2,45.82106391676083
13:42:31,195.09211783684444,253.63633286498245,75.36,45.82132005765308
