Time,IST Cap (pF),New IST Cap (pF),New IST Heated Cap (pF),E+E Cap (pF),E+E Humidity,Vaisala Cap(pF)
12:39:35,NaN,168.87763870287412,210.22886257253674,NaN,51.92,
12:39:35,NaN,168.92313043411502,210.2776660366385,228.1953152782198,51.89,
12:39:35,188.57958799496762,168.9076507247479,210.26512463549673,228.20319861048094,51.89,
12:39:35,188.58222009593268,168.8923125712444,210.24914686952556,228.198983166719,51.89,
12:39:35,188.57395383907084,168.87763870287412,210.22886257253674,228.18414792343225,51.89,
12:39:36,NaN,NaN,NaN,NaN,51.89,
12:39:36,188.50065058302192,168.78904361066355,210.3400507532088,228.12115531392237,51.89,
12:39:37,188.60866754362686,168.8245011484666,210.49147813095152,228.16882151626294,51.87,
12:39:38,188.69779896180907,168.8156879666422,210.44744845529098,228.23709064282986,52,
12:39:39,188.7390528775167,168.79827264075834,210.39180075185072,228.3155257096198,52.13,
12:39:40,188.71924766290624,168.79217791336325,210.37585700353458,228.37377565514498,52.15,
12:39:41,188.7446944342573,168.79061075110067,210.343926496024,228.41466804517097,52.12,
12:39:42,188.80932271244893,168.83254856940815,210.33617511751277,228.5222685709628,52.26,
12:39:43,188.8040902533039,168.85530045197885,210.31297198937034,228.59124526405625,52.61,
12:39:44,188.7302410249317,168.85373241053793,210.28057154060906,228.61457380407782,52.91,
12:39:45,196.3155094729013,171.32979462623322,211.3733708676457,236.56663344992444,53.66,
12:39:46,197.22339922736242,172.3517755979776,211.2550719391524,242.1542689339527,55.74,
12:39:47,196.90800310890128,171.563449966539,210.77494651594836,243.89993903398437,58.43,
12:39:48,196.03506259900612,170.84710249561886,210.75123345283674,243.68781322786603,59.57,
12:39:49,194.90253916605798,170.84277597269667,210.7807782101134,242.84147038262833,60.18,
12:39:50,194.33898615559534,170.47816646543112,210.51713615163902,242.25872895454543,61.08,
12:39:51,193.98494868244126,170.14263341888991,210.53945128759844,241.64437445067333,61.93,
12:39:52,195.14297572855793,171.82998705952303,211.34170092322046,242.64650962612288,64.61,
12:39:53,195.05858415061655,172.46739590611685,211.5508346343306,243.06139817054463,69.39,
12:39:55,193.51750827476553,171.6462743768718,211.0702368335556,242.04652744939452,73.59,
12:39:55,193.15386008878667,171.04679771625536,210.97934590817778,241.2320956836899,73.83,
12:39:57,191.99644029513271,170.67987086162796,210.8870546150843,239.98987941961528,72.26,
12:39:58,192.17337428403286,170.4706726896971,210.80260061289857,239.338492614839,70.03,
