,Air.Temp.,Air.Temp1,Air.Temp2
09/06/2020 14:32:00,40.50945,40.37554,39.77645
09/06/2020 14:33:00,40.0924,40.37868,39.61759
09/06/2020 14:34:00,40.09989,40.28887,39.45919
09/06/2020 14:35:00,39.7267,40.11653,39.34331
09/06/2020 14:36:00,39.73516,40.11397,39.13887
09/06/2020 14:37:00,40.05443,40.21373,39.28302
09/06/2020 14:38:00,40.07404,40.28406,39.33287
09/06/2020 14:39:00,40.16834,40.20376,39.39566
09/06/2020 14:40:00,40.13262,40.21558,39.45563
09/06/2020 14:41:00,40.11742,40.19697,39.51693
09/06/2020 14:42:00,40.25042,40.24548,39.59431
09/06/2020 14:43:00,40.30706,40.29094,39.64147
09/06/2020 14:44:00,40.00394,40.19947,39.6368
09/06/2020 14:45:00,39.73507,40.02311,39.42646
09/06/2020 14:46:00,39.58826,40.01204,39.23805
09/06/2020 14:47:00,39.44372,39.33265,39.0699
09/06/2020 14:48:00,39.51679,39.13232,38.94188
09/06/2020 14:49:00,39.69178,39.28126,39.03967
09/06/2020 14:50:00,39.40092,39.30115,38.9326
09/06/2020 14:51:00,39.21643,39.17316,38.78637
09/06/2020 14:52:00,39.27419,39.11418,38.73734
09/06/2020 14:53:00,39.39311,39.10701,38.77081
09/06/2020 14:54:00,39.40917,39.18207,38.84435
09/06/2020 14:55:00,39.3646,39.12394,38.81236
09/06/2020 14:56:00,39.31361,39.16076,38.80687
09/06/2020 14:57:00,39.31045,39.11766,38.78544
09/06/2020 14:58:00,39.68088,39.21505,38.94138
09/06/2020 14:59:00,40.14967,39.48506,39.17862
09/06/2020 15:00:00,40.26856,39.62139,39.39887
09/06/2020 15:01:00,40.15265,39.5701,39.44204
09/06/2020 15:02:00,40.25037,39.97039,39.57842
09/06/2020 15:03:00,40.02217,40.46137,39.52235
09/06/2020 15:04:00,39.8881,40.2687,39.42332
09/06/2020 15:05:00,39.57922,40.11337,39.23173
09/06/2020 15:06:00,39.43855,39.42665,39.04881
09/06/2020 15:07:00,39.53489,39.07784,39.04022
09/06/2020 15:08:00,39.62713,39.07985,39.0403
09/06/2020 15:09:00,39.64945,39.30376,39.06445
09/06/2020 15:10:00,39.92556,40.0724,39.19468
09/06/2020 15:11:00,40.20721,40.01263,39.38801
09/06/2020 15:12:00,40.40822,40.14722,39.6109
09/06/2020 15:13:00,40.17179,40.17818,39.62624
09/06/2020 15:14:00,40.27579,40.20881,39.62508
09/06/2020 15:15:00,40.12242,40.21366,39.65125
09/06/2020 15:16:00,39.88251,40.07822,39.4958
09/06/2020 15:17:00,40.13887,40.04891,39.48372
09/06/2020 15:18:00,40.35259,40.16639,39.62906
09/06/2020 15:19:00,40.34636,40.24534,39.67118
09/06/2020 15:20:00,40.32292,40.27932,39.70079
09/06/2020 15:21:00,40.3849,40.31633,39.73028
09/06/2020 15:22:00,40.34246,40.32169,39.70649
09/06/2020 15:23:00,40.4834,40.37195,39.78043
09/06/2020 15:24:00,40.07189,40.29768,39.69653
