Time,V Hum,V Temp,SGS Hum,SGS Temp
13:28:14,43.5,20.5,37.5,20.5
13:28:14,43.6,20.5,37.5,20.5
13:28:16,43.6,20.5,37.6,20.5
13:28:16,43.6,20.5,37.6,20.5
13:28:18,43.6,20.5,37.6,20.5
13:28:19,43.6,20.5,37.6,20.5
13:28:19,43.6,20.5,37.6,20.5
13:28:20,43.6,20.5,37.6,20.5
13:28:21,43.6,20.5,37.6,20.5
13:28:23,43.6,20.5,37.6,20.5
13:28:24,43.6,20.5,37.6,20.5
13:28:25,43.6,20.5,37.6,20.5
13:28:26,43.6,20.5,37.6,20.5
13:28:27,43.6,20.5,37.8,20.5
13:28:27,43.6,20.5,37.8,20.5
13:28:29,43.6,20.5,37.8,20.5
13:28:29,43.6,20.5,37.8,20.5
13:28:30,43.6,20.5,37.8,20.5
13:28:31,43.7,20.5,37.8,20.5
13:28:32,43.7,20.5,37.8,20.5
13:28:34,43.7,20.5,37.8,20.5
13:28:34,43.7,20.5,37.9,20.5
13:28:36,43.7,20.5,37.9,20.5
13:28:37,43.7,20.5,37.9,20.5
13:28:37,43.7,20.5,37.9,20.5
13:28:39,43.7,20.5,37.9,20.5
13:28:40,43.7,20.5,38,20.5
13:28:40,43.7,20.5,38,20.5
13:28:42,43.7,20.5,38,20.5
13:28:42,43.7,20.5,38,20.5
13:28:43,43.7,20.5,38,20.5
13:28:44,43.7,20.5,38,20.5
13:28:46,43.7,20.5,38,20.5
13:28:47,43.7,20.5,38,20.5
13:28:48,43.8,20.5,38.1,20.5
13:28:49,43.8,20.5,38.1,20.5
13:28:50,43.8,20.5,38.1,20.5
13:28:51,43.8,20.5,38.1,20.5
13:28:52,43.8,20.5,38.1,20.5
13:28:52,43.8,20.5,38.1,20.5
13:28:54,43.8,20.5,38.1,20.5
13:28:55,43.8,20.5,38.2,20.5
13:28:55,43.8,20.5,38.2,20.5
13:28:56,43.8,20.5,38.2,20.5
13:28:57,43.8,20.5,38.2,20.5
13:28:58,43.8,20.5,38.2,20.5
13:29:00,43.8,20.5,38.2,20.5
13:29:00,43.8,20.5,38.2,20.5
13:29:01,43.8,20.5,38.2,20.5
13:29:02,43.8,20.5,38.4,20.5
13:29:03,43.8,20.5,38.4,20.5
13:29:05,43.9,20.5,38.4,20.5
13:29:05,43.9,20.5,38.4,20.5
13:29:06,43.9,20.5,38.4,20.5
13:29:07,43.9,20.5,38.4,20.5
13:29:09,43.9,20.5,38.4,20.5
13:29:09,43.9,20.5,38.4,20.5
13:29:10,43.9,20.5,38.4,20.5
13:29:11,43.9,20.5,38.4,20.5
13:29:13,43.9,20.5,38.4,20.5
13:29:13,43.9,20.5,38.5,20.5
13:29:15,43.9,20.5,38.4,20.5
13:29:16,43.9,20.5,38.4,20.5
13:29:16,43.9,20.5,38.4,20.5
13:29:18,43.9,20.5,38.4,20.5
13:29:18,43.9,20.5,38.4,20.5
13:29:19,43.9,20.5,38.4,20.5
13:29:20,43.9,20.5,38.4,20.5
13:29:22,43.9,20.5,38.2,20.5
13:29:23,43.9,20.5,38.2,20.5
13:29:24,43.9,20.5,38.2,20.5
13:29:25,43.9,20.5,38.2,20.5
13:29:25,43.8,20.5,38.2,20.5
13:29:27,43.8,20.5,38.1,20.5
13:29:28,43.8,20.5,38.1,20.5
13:29:28,43.8,20.5,38.1,20.6
13:29:30,43.8,20.5,38.1,20.6
13:29:30,43.8,20.5,38.1,20.6
13:29:32,43.8,20.5,38.1,20.5
13:29:33,43.7,20.5,38,20.5
13:29:34,43.7,20.5,38,20.5
13:29:35,43.7,20.5,38,20.5
13:29:36,43.7,20.5,38,20.5
13:29:37,43.7,20.5,38,20.5
13:29:38,43.7,20.5,38,20.5
13:29:39,43.7,20.5,38,20.5
13:29:40,43.7,20.5,38,20.5
13:29:40,43.7,20.5,38,20.5
13:29:42,43.6,20.5,38,20.5
13:29:42,43.6,20.5,38,20.5
13:29:44,43.6,20.5,38,20.5
13:29:45,43.6,20.5,37.9,20.6
13:29:45,43.6,20.5,37.9,20.6
13:29:47,43.6,20.5,37.9,20.6
13:29:48,43.6,20.5,37.9,20.6
13:29:49,43.6,20.5,37.9,20.6
13:29:50,43.6,20.5,37.9,20.6
13:29:50,43.6,20.5,37.9,20.5
13:29:51,43.6,20.5,37.9,20.5
13:29:53,43.5,20.5,37.8,20.5
13:29:54,43.5,20.5,37.8,20.5
13:29:55,43.5,20.5,37.8,20.5
13:29:55,43.5,20.5,37.8,20.5
13:29:57,43.5,20.5,37.6,20.5
13:29:58,43.5,20.5,37.6,20.5
13:29:59,43.5,20.5,37.6,20.5
13:29:59,43.5,20.5,37.6,20.5
13:30:01,43.4,20.5,37.5,20.5
13:30:01,43.4,20.5,37.5,20.5
13:30:03,43.4,20.5,37.5,20.5
13:30:04,43.4,20.5,37.4,20.5
13:30:04,43.4,20.5,37.4,20.5
13:30:05,43.4,20.5,37.4,20.6
13:30:06,43.3,20.5,37.4,20.5
13:30:07,43.3,20.5,37.4,20.5
13:30:09,43.3,20.5,37.4,20.5
13:30:10,43.3,20.5,37.4,20.5
13:30:11,43.3,20.5,37.3,20.5
13:30:12,43.3,20.5,37.3,20.5
13:30:12,43.2,20.5,37.3,20.5
13:30:14,43.2,20.5,37.3,20.5
13:30:15,43.2,20.5,37.3,20.5
13:30:16,43.2,20.5,37.3,20.5
13:30:17,43.2,20.5,37.2,20.5
13:30:18,43.2,20.5,37.2,20.5
13:30:18,43.2,20.5,37.2,20.5
13:30:19,43.2,20.5,37.2,20.5
13:30:21,43.1,20.5,37.2,20.5
13:30:22,43.1,20.5,37.2,20.6
13:30:22,43.1,20.5,37.2,20.5
13:30:24,43.1,20.5,37,20.5
13:30:24,43.1,20.5,37,20.5
13:30:25,43.1,20.5,37,20.5
13:30:26,43.1,20.5,36.9,20.5
13:30:28,43.1,20.5,36.9,20.6
13:30:29,43.1,20.5,36.9,20.6
13:30:30,43,20.5,36.8,20.6
13:30:30,43,20.5,36.8,20.6
13:30:32,43,20.5,36.7,20.5
13:30:33,43,20.5,36.7,20.5
13:30:34,42.9,20.5,36.7,20.5
13:30:35,42.9,20.5,36.7,20.5
13:30:35,42.9,20.5,36.7,20.5
13:30:37,42.9,20.5,36.7,20.5
13:30:38,42.8,20.5,36.6,20.5
13:30:38,42.8,20.5,36.6,20.6
13:30:40,42.8,20.5,36.6,20.6
13:30:41,42.8,20.5,36.6,20.6
13:30:42,42.8,20.5,36.6,20.6
13:30:43,42.8,20.5,36.6,20.6
13:30:43,42.8,20.5,36.6,20.6
13:30:45,42.7,20.5,36.6,20.6
13:30:45,42.7,20.5,36.4,20.5
13:30:47,42.7,20.5,36.4,20.6
13:30:47,42.7,20.5,36.4,20.5
13:30:48,42.7,20.5,36.4,20.5
13:30:50,42.7,20.5,36.3,20.5
13:30:50,42.7,20.5,36.3,20.5
13:30:52,42.7,20.5,36.3,20.5
13:30:53,42.7,20.5,36.2,20.5
13:30:53,42.6,20.5,36.2,20.5
13:30:55,42.6,20.5,36.2,20.6
13:30:55,42.6,20.5,36.2,20.6
13:30:57,42.6,20.5,36.2,20.5
13:30:58,42.6,20.5,36.2,20.5
13:30:59,42.6,20.5,36.2,20.5
13:31:00,42.6,20.5,36.1,20.5
13:31:00,42.6,20.5,36.1,20.5
13:31:02,42.5,20.5,36.1,20.5
13:31:02,42.5,20.5,36.1,20.5
13:31:04,42.5,20.5,36.1,20.5
13:31:04,42.5,20.5,36,20.5
13:31:05,42.5,20.5,36,20.5
13:31:07,42.5,20.5,36,20.5
13:31:08,42.5,20.5,36,20.5
13:31:09,42.4,20.5,35.8,20.5
13:31:10,42.4,20.5,35.8,20.5
13:31:11,42.4,20.5,35.8,20.5
13:31:12,42.4,20.5,35.7,20.5
13:31:13,42.4,20.5,35.7,20.5
13:31:13,42.4,20.5,35.7,20.5
13:31:14,42.3,20.5,35.7,20.5
13:31:16,42.3,20.5,35.6,20.5
13:31:17,42.3,20.5,35.6,20.5
13:31:17,42.3,20.5,35.6,20.5
13:31:18,42.3,20.5,35.5,20.5
13:31:20,42.3,20.5,35.5,20.5
13:31:21,42.2,20.5,35.5,20.5
13:31:21,42.2,20.5,35.4,20.5
13:31:22,42.2,20.5,35.4,20.5
13:31:23,42.2,20.5,35.4,20.5
13:31:24,42.2,20.5,35.2,20.5
13:31:26,42.1,20.5,35.2,20.5
13:31:27,42.1,20.5,35.2,20.5
13:31:28,42.1,20.5,35.1,20.5
13:31:29,42.1,20.5,35.1,20.5
13:31:29,42.1,20.5,35.1,20.5
13:31:31,42,20.5,35.1,20.5
13:31:32,42,20.5,35.1,20.5
13:31:32,42,20.5,35,20.5
13:31:34,42,20.5,35,20.5
13:31:34,42,20.5,35,20.6
13:31:36,41.9,20.5,35,20.6
13:31:36,41.9,20.5,34.9,20.6
13:31:37,41.9,20.5,34.9,20.5
13:31:38,41.9,20.5,34.9,20.5
13:31:39,41.9,20.5,34.9,20.5
13:31:41,41.8,20.5,34.8,20.5
13:31:42,41.8,20.5,34.8,20.5
13:31:43,41.8,20.5,34.8,20.5
13:31:44,41.8,20.5,34.8,20.5
13:31:44,41.8,20.5,34.8,20.5
13:31:46,41.8,20.5,34.6,20.5
13:31:47,41.8,20.5,34.6,20.5
13:31:47,41.8,20.5,34.6,20.5
13:31:49,41.7,20.5,34.6,20.5
13:31:49,41.7,20.5,34.6,20.5
13:31:51,41.7,20.5,34.6,20.5
13:31:52,41.7,20.5,34.5,20.5
13:31:52,41.7,20.5,34.5,20.5
13:31:53,41.7,20.5,34.5,20.5
13:31:54,41.7,20.5,34.5,20.5
13:31:56,41.7,20.5,34.4,20.5
13:31:56,41.7,20.5,34.4,20.5
13:31:58,41.7,20.5,34.4,20.5
13:31:59,41.7,20.5,34.4,20.5
13:32:00,41.6,20.5,34.4,20.5
13:32:01,41.6,20.5,34.4,20.5
13:32:02,41.6,20.5,34.3,20.5
13:32:03,41.6,20.5,34.3,20.5
13:32:04,41.6,20.5,34.3,20.5
13:32:05,41.6,20.5,34.3,20.5
13:32:06,41.6,20.5,34.3,20.5
13:32:07,41.6,20.5,34.3,20.5
13:32:08,41.5,20.5,34.2,20.5
13:32:09,41.5,20.5,34.2,20.5
13:32:10,41.5,20.5,34.2,20.5
13:32:11,41.5,20.5,34.2,20.5
13:32:12,41.5,20.5,34.2,20.5
13:32:12,41.5,20.5,34.2,20.5
13:32:13,41.5,20.5,34.2,20.5
13:32:15,41.5,20.5,34.2,20.5
13:32:15,41.5,20.5,34,20.5
13:32:17,41.5,20.5,34,20.5
13:32:18,41.5,20.5,34,20.5
13:32:19,41.5,20.5,34,20.5
13:32:20,41.5,20.5,34,20.5
13:32:21,41.4,20.5,34,20.5
13:32:22,41.4,20.5,34,20.5
13:32:23,41.4,20.5,34,20.5
13:32:24,41.4,20.5,34,20.5
13:32:25,41.4,20.5,33.9,20.5
13:32:25,41.4,20.5,33.9,20.5
13:32:27,41.4,20.5,33.9,20.5
13:32:27,41.4,20.5,33.9,20.5
13:32:29,41.4,20.5,33.9,20.5
13:32:29,41.4,20.5,33.9,20.5
13:32:31,41.4,20.5,33.8,20.5
13:32:32,41.4,20.5,33.8,20.5
13:32:33,41.4,20.5,33.8,20.5
13:32:33,41.3,20.5,33.8,20.5
13:32:35,41.3,20.5,33.8,20.5
13:32:36,41.3,20.5,33.7,20.5
13:32:36,41.3,20.5,33.7,20.5
13:32:38,41.3,20.5,33.7,20.5
13:32:39,41.3,20.5,33.7,20.5
