,Rel. Hum.,Rel.Hum2.,Rel. Hum 1
09/06/2020 14:53:00,29.70745,29.50972,30.03861
09/06/2020 14:54:00,29.74469,29.41467,29.87394
09/06/2020 14:55:00,29.99885,29.66049,30.11415
09/06/2020 14:56:00,29.8253,29.37716,29.79466
09/06/2020 14:57:00,30.01092,29.66629,30.05364
09/06/2020 14:58:00,29.44588,29.57277,30.05567
09/06/2020 14:59:00,28.75908,29.16766,29.76611
09/06/2020 15:00:00,28.92496,28.77276,29.48927
09/06/2020 15:01:00,29.43274,29.07154,29.53448
09/06/2020 15:02:00,29.34582,29.00295,29.47875
09/06/2020 15:03:00,29.38161,28.81937,29.42196
09/06/2020 15:04:00,29.76269,29.02877,29.43109
09/06/2020 15:05:00,30.45674,29.79916,30.12214
09/06/2020 15:06:00,30.49789,30.07494,30.24176
09/06/2020 15:07:00,30.4052,30.10168,30.29745
09/06/2020 15:08:00,30.05904,30.00537,30.28724
09/06/2020 15:09:00,30.10796,29.70303,30.05264
09/06/2020 15:10:00,29.47454,29.61378,30.07698
09/06/2020 15:11:00,29.11067,29.12914,29.74588
09/06/2020 15:12:00,28.82185,28.89402,29.41693
09/06/2020 15:13:00,29.52912,29.03422,29.42551
09/06/2020 15:14:00,29.34114,29.14203,29.48914
09/06/2020 15:15:00,29.66134,29.13578,29.44427
09/06/2020 15:16:00,30.1615,29.59412,29.84227
09/06/2020 15:17:00,29.34179,29.364,29.75611
09/06/2020 15:18:00,28.96772,28.82114,29.41789
09/06/2020 15:19:00,29.03819,28.76995,29.20205
09/06/2020 15:20:00,29.17822,28.7825,29.24239
09/06/2020 15:21:00,28.90617,28.87403,29.24932
09/06/2020 15:22:00,28.67921,28.86102,28.89648
09/06/2020 15:23:00,28.55453,28.84943,28.80076
09/06/2020 15:24:00,29.4074,28.83914,28.83225
09/06/2020 15:25:00,29.97558,29.11118,29.4382
09/06/2020 15:26:00,29.66858,29.29337,29.69361
09/06/2020 15:27:00,29.72654,29.49582,29.87995
09/06/2020 15:28:00,29.46384,29.21186,29.65462
09/06/2020 15:29:00,29.58727,29.24887,29.6035
09/06/2020 15:30:00,29.94737,29.48403,29.62692
09/06/2020 15:31:00,29.99457,29.89063,29.93746
09/06/2020 15:32:00,30.2233,30.03295,30.11415
09/06/2020 15:33:00,30.29317,30.06837,30.21016
