Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS Calc,SGS 2 RevC Hum,SGS 2 RevC Temp,SGS 2 RevC RAW,SGS 2 Calc
13:36:32,,,73,19.4,5034.2,767.9,838041,44002.22,66.6,19.8,545712,12829.21
13:36:33,,,73.9,19.4,5034.2,767.9,838053,44002.9,66.6,19.8,545715,12829.28
13:36:34,,,73.9,19.4,5034.2,767.9,838038,44002.06,66.6,19.8,545713,12829.23
13:36:35,,,73.9,19.4,5034.2,767.9,838050,44002.73,66.6,19.8,545711,12829.18
13:36:36,,,73.9,19.4,5034.2,767.9,838045,44002.45,66.6,19.8,545712,12829.21
13:36:37,,,73.9,19.4,5034.2,767.9,838036,44001.94,66.7,19.7,545711,12829.18
13:36:38,,,73.9,19.4,5034.2,767.9,838054,44002.96,66.7,19.8,545711,12829.18
13:36:39,,,73.9,19.4,5034.2,767.9,838037,44002,66.7,19.7,545711,12829.18
13:36:40,,,73.9,19.4,5034.2,767.9,838046,44002.51,66.8,19.7,545707,12829.07
13:36:41,,,73.9,19.4,5034.2,767.9,838039,44002.11,66.8,19.7,545712,12829.21
13:36:42,,,73.9,19.4,5034.2,767.9,838037,44002,66.8,19.8,545712,12829.21
13:36:43,,,73.9,19.4,5034.2,767.9,838044,44002.39,66.9,19.8,545709,12829.13
13:36:44,,,73.9,19.4,5034.2,767.9,838036,44001.94,66.9,19.8,545707,12829.07
13:36:45,,,73.9,19.4,5034.2,767.9,838043,44002.34,66.8,19.8,545709,12829.13
13:36:46,,,73.9,19.4,5034.2,767.9,838037,44002,66.8,19.8,545709,12829.13
13:36:47,,,74,19.4,5034.2,767.9,838042,44002.28,66.8,19.9,545704,12829
13:36:48,,,74,19.4,5034.2,767.9,838035,44001.89,66.7,19.8,545709,12829.13
13:36:49,,,74,19.4,5034.3,767.9,838044,44002.39,66.7,19.9,545706,12829.05
13:36:51,,,74,19.4,5034.3,767.9,838034,44001.83,66.7,19.9,545706,12829.05
13:36:52,,,74,19.4,5034.3,767.9,838041,44002.22,66.7,19.9,545703,12828.97
13:36:53,,,74,19.4,5034.3,767.9,838035,44001.89,66.7,19.8,545704,12829
13:36:54,,,74,19.4,5034.3,767.9,838030,44001.61,66.7,19.8,545703,12828.97
13:36:55,,,74,19.4,5034.3,767.9,838038,44002.06,66.7,19.8,545706,12829.05
13:36:56,,,74,19.4,5034.3,767.9,838044,44002.39,66.7,19.8,545700,12828.89
