Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS 2 Hum,SGS 2 Temp,SGS 2 RAW
12:04:51,67.27,23.23,,,,,,84.6,23.2,60069
12:04:52,67.29,23.23,66.1,24,,,,84.6,23.2,60069
12:04:53,67.32,23.23,66.1,24,,,,84.6,23.2,60069
12:04:54,67.29,23.23,66.2,24,,,,84.6,23.2,60070
12:04:55,67.29,23.23,66.2,24,,,,84.6,23.2,60069
12:04:56,67.32,23.23,66.2,24,,,,84.6,23.2,60068
12:04:57,67.34,23.23,66.2,24,,,,84.6,23.2,60068
12:04:58,67.34,23.23,66.2,24,,,,84.6,23.2,60070
12:04:59,67.37,23.23,66.2,24,,,,84.6,23.2,60068
12:05:00,67.38,23.23,66.2,24,,,,84.6,23.2,60068
12:05:01,67.37,23.23,66.2,24,,,,84.6,23.2,60069
12:05:02,67.38,23.23,66.2,24,,,,84.6,23.2,60070
12:05:03,67.4,23.23,66.2,24,,,,84.6,23.2,60071
12:05:04,67.4,23.23,66.3,24,,,,84.6,23.2,60070
12:05:05,67.4,23.23,66.3,24,,,,84.6,23.2,60071
12:05:06,67.4,23.23,66.4,24,,,,84.6,23.2,60071
12:05:07,67.42,23.23,66.4,24,,,,84.6,23.2,60074
12:05:08,67.43,23.23,66.5,24,,,,84.7,23.2,60070
12:05:09,67.41,23.23,66.5,24,,,,84.7,23.2,60072
12:05:10,67.41,23.23,66.5,24,,,,84.7,23.2,60070
12:05:11,67.44,23.23,66.5,24,,,,84.7,23.2,60070
12:05:12,67.43,23.23,66.5,24,,,,84.7,23.2,60070
12:05:13,67.44,23.23,66.5,24,,,,84.7,23.2,60069
12:05:14,67.46,23.23,66.5,24,,,,84.7,23.2,60070
12:05:15,67.46,23.23,66.5,24,,,,84.7,23.2,60069
12:05:16,67.46,23.23,66.5,24,,,,84.7,23.2,60070
12:05:17,67.46,23.23,66.5,24,,,,84.7,23.2,60069
12:05:18,67.46,23.23,66.5,24,,,,84.7,23.3,60069
12:05:19,67.46,23.23,66.5,24,,,,84.7,23.3,60068
12:05:20,67.48,23.23,66.5,24,,,,84.6,23.2,60070
12:05:21,67.46,23.23,66.5,24,,,,84.6,23.2,60071
12:05:22,67.48,23.23,66.5,24,,,,84.6,23.2,60071
12:05:23,67.46,23.23,66.5,24,,,,84.6,23.2,60070
12:05:24,67.46,23.23,66.5,24,,,,84.6,23.2,60069
