Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS 2 Hum,SGS 2 Temp,SGS 2 RAW
12:05:30,67.47,23.23,66.3,24,,,,84.6,23.2,60066
12:05:31,67.45,23.23,66.3,24,,,,84.6,23.2,60067
12:05:32,67.45,23.23,66.2,24,,,,84.6,23.2,60066
12:05:33,67.47,23.23,66.2,24,,,,84.6,23.2,60066
12:05:34,67.45,23.23,66.2,24,,,,84.6,23.2,60064
12:05:35,67.46,23.23,66.2,24,,,,84.6,23.2,60064
12:05:36,67.47,23.23,66.2,24,,,,84.6,23.2,60064
12:05:37,67.46,23.23,66.1,24,,,,84.6,23.2,60064
12:05:38,67.44,23.23,66.1,24,,,,84.5,23.2,60063
12:05:39,67.42,23.23,66,24,,,,84.5,23.2,60060
12:05:40,67.38,23.23,66,24,,,,84.5,23.2,60060
12:05:41,67.34,23.23,65.9,24,,,,84.5,23.2,60058
12:05:42,67.34,23.23,65.9,24,,,,84.5,23.2,60057
12:05:43,67.35,23.23,65.8,24,,,,84.4,23.2,60056
12:05:44,67.33,23.23,65.7,24,,,,84.4,23.2,60055
12:05:45,67.35,23.23,65.7,24,,,,84.4,23.2,60054
12:05:46,67.35,23.23,65.6,24,,,,84.4,23.2,60053
12:05:47,67.32,23.23,65.6,24,,,,84.4,23.2,60053
12:05:48,67.29,23.23,65.5,24.1,,,,84.3,23.2,60053
12:05:49,67.27,23.23,65.5,24.1,,,,84.3,23.2,60053
12:05:50,67.26,23.23,65.5,24.1,,,,84.3,23.2,60054
12:05:51,67.25,23.23,65.5,24.1,,,,84.3,23.2,60054
12:05:52,67.25,23.23,65.5,24,,,,84.3,23.2,60055
12:05:53,67.23,23.23,65.5,24,,,,84.3,23.2,60054
12:05:54,67.22,23.23,65.5,24.1,,,,84.3,23.2,60055
12:05:55,67.2,23.23,65.5,24.1,,,,84.3,23.2,60055
12:05:56,67.24,23.23,65.6,24.1,,,,84.3,23.2,60056
12:05:57,67.25,23.23,65.6,24.1,,,,84.4,23.2,60057
12:05:58,67.29,23.23,65.6,24.1,,,,84.4,23.2,60056
12:05:59,67.27,23.23,65.6,24,,,,84.4,23.2,60056
