Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS 2 Hum,SGS 2 Temp,SGS 2 RAW
16:23:12,NaN,NaN,63.1,24.9,5213.7,30.4,54841,68.2,24.8,59376
16:23:13,NaN,NaN,62.8,24.9,5211.9,30.4,54819,68.1,24.8,59372
16:23:14,NaN,NaN,62.8,24.9,5210.3,30.4,54797,68,24.8,59366
16:23:15,NaN,NaN,62.5,24.9,5208.5,30.4,54788,67.9,24.8,59361
16:23:16,NaN,NaN,62.5,24.9,5206.8,30.4,54726,67.8,24.8,59357
16:23:17,NaN,NaN,62.1,24.9,5205,30.4,54684,67.7,24.8,59354
16:23:18,NaN,NaN,62,24.9,5203.1,30.4,54671,67.6,24.8,59351
16:23:19,NaN,NaN,62,24.9,5201.4,30.4,54673,67.5,24.8,59351
16:23:20,NaN,NaN,61.9,24.9,5199.7,30.4,54711,67.4,24.8,59351
16:23:21,NaN,NaN,61.9,24.9,5198.2,30.4,54686,67.4,24.8,59351
16:23:22,NaN,NaN,61.8,24.9,5196.5,30.4,54670,67.3,24.8,59351
16:23:23,NaN,NaN,61.8,24.9,5195,30.4,54653,67.3,24.7,59351
16:23:25,NaN,NaN,61.8,24.9,5193.5,30.4,54616,67.3,24.8,59351
16:23:26,NaN,NaN,61.8,24.9,5190.2,30.4,54501,67.3,24.8,59351
16:23:27,NaN,NaN,61.8,24.9,5188.4,30.4,54456,67.3,24.8,59351
16:23:28,NaN,NaN,61.8,24.9,5186.4,30.4,54441,67.3,24.8,59348
16:23:29,NaN,NaN,61.8,24.9,5184.4,30.4,54379,67.2,24.8,59345
16:23:30,NaN,NaN,61.8,24.9,5182.2,30.4,54321,67.2,24.8,59341
16:23:31,NaN,NaN,61.8,24.9,5179.7,30.4,54283,67.2,24.8,59339
16:23:32,NaN,NaN,61.9,24.9,5177.4,30.4,54229,67.2,24.8,59335
16:23:33,NaN,NaN,62,24.9,5175,30.5,54164,67.1,24.8,59333
16:23:34,NaN,NaN,62.3,24.9,5172.3,30.5,54078,67.1,24.8,59331
16:23:35,NaN,NaN,62.5,24.9,5169.2,30.5,53927,67,24.8,59330
16:23:36,NaN,NaN,62.8,24.9,5165,30.5,53579,67,24.8,59328
16:23:37,NaN,NaN,63,24.9,5159.2,30.5,50656,66.9,24.8,59327
16:23:38,NaN,NaN,63,24.9,5138.1,30.4,51071,66.9,24.8,59326
16:23:39,NaN,NaN,63.2,24.9,5119.2,30.4,51120,66.8,24.8,59325
16:23:40,NaN,NaN,63.6,24.9,5100.8,30.4,51184,66.8,24.8,59324
16:23:41,NaN,NaN,63.7,24.9,5082.9,30.4,51187,66.8,24.8,59322
16:23:42,NaN,NaN,63.9,24.9,5065.5,30.4,51221,66.8,24.8,59321
16:23:43,NaN,NaN,64.1,24.9,5048.4,30.4,51232,66.7,24.8,59320
16:23:45,NaN,NaN,64.1,24.9,5031.5,30.4,51259,66.7,24.8,59319
16:23:46,NaN,NaN,64.3,24.9,5015.1,30.4,51205,66.7,24.8,59319
