Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS 2 RevC Hum,SGS 2 RevC Temp,SGS 2 RevC RAW
10:52:19,0,0,67.8,14.3,351.1,716.7,471013,96,13.3,547147
10:52:20,0,0,66,14.3,375.5,767.9,471270,95.2,14.3,547186
10:52:21,0,0,66,14.3,374.5,767.9,471426,85,14.3,547225
10:52:22,0,0,63.6,14.3,373.5,767.9,471659,76.7,14.3,547256
10:52:23,0,0,63.6,14.3,372.4,767.9,471858,70,14.3,547289
10:52:24,0,0,61.3,14.3,371.3,767.9,472086,64.9,14.3,547311
10:52:25,0,0,59.7,14.2,370.2,767.9,472307,61,14.4,547337
10:52:26,0,0,59.7,14.2,369.1,767.9,472520,58.4,14.4,547363
10:52:27,0,0,59.7,14.2,368,767.9,472699,56.9,14.3,547380
10:52:28,0,0,57.5,14.2,366.9,767.9,472896,56.4,14.3,547402
10:52:29,0,0,56.6,14.2,365.8,767.9,473087,55.9,14.2,547426
10:52:30,0,0,56,14.2,364.8,767.9,473260,55.4,14.2,547435
10:52:31,0,0,55.3,14.2,363.8,767.9,473432,55,14.2,547451
10:52:32,0,0,54.8,14.2,362.8,767.9,473555,54.7,14.2,547463
10:52:33,0,0,53.9,14.2,362.3,767.9,473657,54.4,14.2,547465
10:52:34,0,0,53.9,14.2,361.4,767.9,473814,54.2,14.2,547482
10:52:35,0,0,53.2,14.2,360.5,767.9,473932,53.9,14.2,547498
10:52:36,0,0,53,14.2,359.7,767.9,474054,53.7,14.2,547504
10:52:37,0,0,52.4,14.1,358.9,767.9,474185,53.5,14.3,547506
10:52:38,0,0,52.2,14.1,358.1,767.9,474303,53.2,14.2,547519
10:52:39,0,0,52,14.1,357.4,767.9,474418,53,14.2,547525
10:52:40,0,0,51.6,14.1,356.8,767.9,474522,52.9,14.2,547535
10:52:41,0,0,51.5,14.1,356.1,767.9,474624,52.7,14.2,547539
