Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS 2 RevC Hum,SGS 2 RevC Temp,SGS 2 RevC RAW
11:49:49,0,0,25.5,29.3,266.1,767.9,491644,10.6,29.5,547454
11:49:50,0,0,25.5,29.3,266.1,767.9,491648,10.6,29.5,547455
11:49:51,0,0,25.5,29.3,266.1,767.9,491647,10.6,29.4,547455
11:49:52,0,0,25.5,29.3,266.1,767.9,491646,10.6,29.4,547452
11:49:53,0,0,25.5,29.3,266.1,767.9,491643,10.6,29.5,547454
11:49:54,0,0,25.5,29.3,266.1,767.9,491641,10.6,29.5,547459
11:49:55,0,0,25.5,29.3,266.1,767.9,491640,10.6,29.4,547457
11:49:56,0,0,25.5,29.3,266.1,767.9,491639,10.7,29.4,547455
11:49:57,0,0,25.5,29.3,266.1,767.9,491639,10.7,29.3,547456
11:49:58,0,0,25.5,29.3,266.1,767.9,491638,10.7,29.4,547455
11:49:59,0,0,25.5,29.3,266.1,767.9,491632,10.7,29.4,547456
11:50:00,0,0,25.5,29.3,266.1,767.9,491629,10.7,29.4,547458
11:50:01,0,0,25.5,29.3,266.1,767.9,491623,10.7,29.3,547459
11:50:02,0,0,25.5,29.3,266.1,767.9,491617,10.8,29.3,547455
11:50:03,0,0,25.5,29.3,266.1,767.9,491612,10.8,29.3,547458
11:50:04,0,0,25.5,29.3,266.2,767.9,491605,10.8,29.3,547454
11:50:05,0,0,25.5,29.3,266.2,767.9,491598,10.9,29.3,547456
11:50:06,0,0,25.5,29.3,266.2,767.9,491593,10.8,29.3,547457
11:50:07,0,0,25.5,29.3,266.2,767.9,491589,10.9,29.3,547455
11:50:08,0,0,25.5,29.3,266.3,767.9,491584,10.9,29.3,547453
11:50:09,0,0,25.6,29.3,266.3,767.9,491580,10.9,29.4,547456
11:50:10,0,0,25.6,29.3,266.3,767.9,491578,10.9,29.4,547459
11:50:11,0,0,25.6,29.3,266.4,767.9,491576,10.9,29.4,547455
11:50:12,0,0,25.6,29.3,266.4,767.9,491575,10.9,29.3,547455
11:50:13,0,0,25.6,29.3,266.4,767.9,491577,10.8,29.4,547458
11:50:14,0,0,25.6,29.3,266.4,767.9,491580,10.8,29.4,547456
11:50:15,0,0,25.6,29.3,266.4,767.9,491580,10.8,29.3,547456
11:50:16,0,0,25.6,29.3,266.4,767.9,491579,10.8,29.3,547457
11:50:17,0,0,25.6,29.3,266.5,767.9,491579,10.8,29.3,547457
11:50:18,0,0,25.6,29.3,266.5,767.9,491576,10.8,29.3,547457
11:50:19,0,0,25.6,29.3,266.5,767.9,491569,10.9,29.3,547453
11:50:20,0,0,25.6,29.3,266.5,767.9,491567,10.9,29.3,547455
11:50:21,0,0,25.7,29.3,266.5,767.9,491563,10.9,29.3,547452
11:50:22,0,0,25.7,29.3,266.5,767.9,491559,11,29.3,547452
11:50:23,0,0,25.7,29.3,266.5,767.9,491557,11,29.3,547452
11:50:24,0,0,25.7,29.3,266.5,767.9,491553,11,29.3,547453
11:50:25,0,0,25.7,29.3,266.5,767.9,491551,11,29.3,547451
11:50:26,0,0,25.7,29.3,266.5,767.9,491547,11,29.3,547453
11:50:27,0,0,25.7,29.3,266.5,767.9,491545,11,29.3,547453
11:50:28,0,0,25.7,29.3,266.5,767.9,491541,11,29.4,547452
11:50:29,0,0,25.7,29.3,266.6,767.9,491536,10.9,29.4,547452
11:50:30,0,0,25.7,29.3,266.6,767.9,491528,10.9,29.4,547452
11:50:31,0,0,25.7,29.3,266.6,767.9,491518,10.9,29.4,547447
11:50:32,0,0,25.7,29.3,266.6,767.9,491510,10.9,29.4,547444
11:50:33,0,0,25.7,29.3,266.6,767.9,491501,10.9,29.4,547444
11:50:34,0,0,25.8,29.3,266.7,767.9,491495,10.9,29.4,547446
11:50:35,0,0,25.8,29.3,266.7,767.9,491492,10.9,29.4,547442
11:50:36,0,0,25.8,29.3,266.8,767.9,491487,10.9,29.4,547446
11:50:37,0,0,25.8,29.3,266.8,767.9,491484,10.9,29.4,547446
11:50:38,0,0,25.8,29.3,266.8,767.9,491486,10.9,29.3,547449
11:50:39,0,0,25.8,29.3,266.8,767.9,491490,10.9,29.3,547452
11:50:40,0,0,25.8,29.3,266.8,767.9,491498,10.9,29.3,547451
11:50:41,0,0,25.8,29.3,266.9,767.9,491499,10.9,29.3,547448
11:50:42,0,0,25.8,29.3,266.9,767.9,491500,10.9,29.4,547447
11:50:43,0,0,25.8,29.3,266.9,767.9,491502,11,29.3,547449
11:50:44,0,0,25.8,29.3,266.9,767.9,491498,11,29.2,547447
